feature,variance
507,0.0
506,0.0
509,0.0
508,0.0
325,0.0
284,0.0
538,0.0
537,0.0
536,0.0
535,0.0
534,0.0
261,0.0
260,0.0
259,0.0
258,0.0
257,0.0
513,0.0
528,0.0
512,0.0
466,0.0
463,0.0
462,0.0
465,0.0
464,0.0
458,0.0
461,0.0
481,0.0
501,0.0
69,0.0
498,0.0
515,0.0
514,0.0
236,0.0
97,0.0
449,0.0
450,0.0
451,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
141,0.0
226,0.0
229,0.0
276,0.0
422,0.0
414,0.0
394,0.0
264,0.0
263,0.0
262,0.0
396,0.0
395,0.0
266,0.0
265,0.0
256,0.0
243,0.0
241,0.0
242,0.0
240,0.0
237,0.0
234,0.0
235,0.0
328,0.0
327,0.0
329,0.0
330,0.0
231,0.0
230,0.0
149,0.0
233,0.0
232,0.0
326,0.0
322,0.0
315,0.0
314,0.0
313,0.0
397,0.0
189,0.0
373,0.0
186,0.0
372,0.0
371,0.0
370,0.0
369,0.0
381,0.0
179,0.0
178,0.0
380,0.0
378,0.0
13,0.0
503,0.0
530,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
529,0.0
505,0.0
504,0.0
49,0.0
52,0.0
502,0.0
42,0.0
531,0.0
532,0.0
533,0.0
5,0.0
364,0.0
379,0.0
375,0.0
374,0.0
95,1.087301063358982e-08
358,2.261172115495114e-08
94,3.020999037459219e-08
101,4.8549497498290494e-08
544,8.72311426361555e-08
278,1.1496032066218893e-07
100,1.2592374981763887e-07
377,2.1738802618828148e-07
357,2.490767921718783e-07
376,2.8516533940361595e-07
220,5.769433808409576e-07
104,7.227811886441378e-07
85,1.304673785474845e-06
143,1.6340072748848556e-06
239,2.075034609902025e-06
543,2.3493296934458423e-06
219,2.689393843814107e-06
114,2.782538181735197e-06
238,2.879391252044683e-06
580,3.9412253771717254e-06
368,4.4216336134563365e-06
131,5.0360038236748664e-06
366,5.669151497072847e-06
365,7.045837919868681e-06
367,7.258378310313036e-06
542,7.483586324259686e-06
588,8.2151479223871e-06
288,8.604341213779405e-06
392,8.735296297111312e-06
106,8.893857131563267e-06
93,9.047677644195696e-06
103,9.379588927439421e-06
105,1.0215960026439306e-05
92,1.0426199422801538e-05
582,1.1582035622974162e-05
292,1.2534106878702747e-05
584,1.3832910043595517e-05
57,1.7394052027733558e-05
387,2.489345869184106e-05
84,2.5320211604117812e-05
109,2.6686720115798296e-05
281,3.071490590165457e-05
579,3.759938682647615e-05
280,4.197739169378652e-05
391,4.470959683315119e-05
56,4.623358947839421e-05
359,5.092759846482487e-05
578,5.4566678957195864e-05
118,6.463391448464947e-05
282,7.301568160683183e-05
587,7.752493438666754e-05
7,7.984560940404789e-05
119,8.007676087504004e-05
254,8.339595473694762e-05
10,8.641873139407037e-05
153,8.717566370080222e-05
116,9.01835927792326e-05
349,0.00011072863835117823
405,0.00011450828531632219
228,0.00011531196810656573
227,0.00011554639992632202
385,0.00011746159684782156
342,0.00012762465858328015
348,0.00013862877115083526
389,0.0001396179597395516
17,0.0001452256156715657
113,0.0001472065857839002
157,0.0001476723732396547
586,0.00015262757454393414
11,0.00015485824007446038
87,0.0001650670464016379
354,0.00016823118958956317
352,0.00017048539180951962
350,0.00020237162732148782
303,0.0002102920011231001
9,0.00022820762908519503
353,0.00023659306920105854
386,0.00023988228085489272
249,0.0002487177487222495
382,0.00025061355690197154
20,0.0002801249101397681
81,0.00028531495656341154
583,0.00029496267470604197
360,0.00040010275615932363
279,0.0004111434428885678
362,0.00045429902005850224
146,0.00047660423324783754
75,0.0004893302490136198
355,0.0004903617981256128
253,0.0004952664123798555
79,0.0005246299031020546
221,0.0005431335934801513
351,0.0005941691421813733
211,0.0006158654403522199
306,0.0006447552043952498
291,0.0006527422682057538
216,0.0006536452741774188
145,0.0007035351070082911
147,0.0007347156266417597
307,0.0007539900307100226
309,0.0007541250297686722
311,0.0008286901729557827
267,0.0008745530743438463
567,0.000905003975421794
215,0.0009122330263553609
77,0.0009690094230623468
212,0.0009833244720981352
320,0.0010159975478051056
30,0.0010839255337863226
76,0.0010855654885444607
308,0.0011277841919282686
82,0.001281447675313233
112,0.0013085427130365183
86,0.001393667861170811
251,0.0014041876618898236
393,0.0014752123041889677
210,0.0017435756763254904
310,0.0018875542892235369
217,0.0021108185495463993
78,0.002256654242889546
168,0.0022665777526751055
80,0.0023875222009746033
248,0.0024240922937240877
244,0.0025093373372177268
206,0.0025526483726866613
247,0.0026033812841972973
89,0.0026536496901776014
560,0.0026586852257814222
213,0.002769321856016613
132,0.0028139417521746823
53,0.0030117715868719546
222,0.0031289219135327046
214,0.0031393305815832773
305,0.0032912210909963723
54,0.0035408403086976685
171,0.003692477370625472
144,0.0037583310941586567
99,0.003921284193222115
102,0.003949740161252068
331,0.004012399134357164
298,0.004119720099880925
304,0.004202439967089419
575,0.00459563574534154
224,0.004917959815495358
172,0.0050723336874582805
174,0.005072886221287799
317,0.0052373615928868154
8,0.005453729756830087
565,0.0055313641324072245
176,0.005609093504854677
156,0.0062685995054447535
130,0.006773347481926891
558,0.0070282488799725505
58,0.007223707449609242
447,0.007470693098598896
108,0.007498071742435171
107,0.007622530859570923
91,0.00765886611871119
173,0.00915914122602104
121,0.009866894057757331
74,0.011233069719208691
123,0.011664700344998754
184,0.012135876160986369
563,0.012358613458471782
124,0.01295513989442208
175,0.013522261293773806
312,0.013755144618141896
255,0.014480312089365514
163,0.014862828842970558
120,0.015451581590433599
299,0.017093946008764748
127,0.01823035206272245
445,0.01993944712078053
443,0.020594089543335123
444,0.024171593798849353
170,0.024780329703217953
334,0.029779656642664274
44,0.030618603801316827
446,0.031011978592253544
25,0.031509637311161486
441,0.033912672933059815
26,0.03586545486304781
47,0.03594260120503219
302,0.03896260275426847
169,0.039121525023207745
559,0.040533558908767274
19,0.0472076645900644
300,0.047965760411398564
96,0.04803049914290673
181,0.05032432144868501
448,0.0557945758688907
164,0.05874937291731358
573,0.061741377911449506
126,0.06387962952612188
552,0.06449448959924563
128,0.06938715279458763
290,0.07297525898661002
61,0.07526851038833346
571,0.07568652701397191
125,0.07826815580615032
177,0.07998883003045737
37,0.09244262740783929
301,0.11007424102643036
347,0.12356022724313981
546,0.12852786581184733
407,0.13233500188851152
356,0.149610834181714
195,0.15577583764031622
165,0.16571118142956456
29,0.16681780107582883
98,0.18172508765918396
38,0.1994632587448012
83,0.26634545484113387
31,0.2862782925163962
198,0.28808698968834373
554,0.2991669814159048
411,0.3014458531449818
549,0.38323685863585727
167,0.399884242449434
442,0.43426413973929284
492,0.4479253327218449
540,0.5331081269025258
383,0.63576382754905
122,0.8127385469334396
452,0.8443860650356919
568,0.8496427769246211
455,0.8799848771062323
566,0.9111736697165944
526,0.9185833359574673
285,0.9255583568060924
493,0.9485752718627894
426,0.9893789292570099
316,1.0369563332104117
416,1.0661260207166485
110,1.24301354745569
155,1.2520191821027729
166,1.2522974487371643
269,1.3211069557624082
209,1.359171984684108
218,1.3690584840158548
556,1.3695052360884739
34,1.3977147899365745
36,1.3977164663933732
277,1.4188092873396303
318,1.4775951879700902
129,1.4819791240850442
491,1.4876628626741928
551,1.5459520707667151
27,1.5466789962533447
539,1.5617738644298718
111,1.6379424898794428
545,1.7287594506367845
33,1.8064318213671666
459,1.8094193824868294
437,2.5929581057471673
289,2.6096599826043776
337,2.875500717047791
557,2.9188731039219014
409,3.145106904049583
39,3.2640117551940535
384,3.520294630814491
527,3.5671786090389914
553,4.020035341627461
32,4.104305185250083
321,4.478825915769688
410,4.487060929204555
319,4.745407749746788
453,5.062920409687374
41,5.487392786085754
16,5.767510694406737
564,5.964354626838179
323,6.34060357971238
35,6.625194094953963
408,6.626026203138081
245,6.645496584715178
475,6.792106759833296
479,6.935615890536438
18,7.7196517050515965
518,7.793202239223441
14,7.805966944767878
406,7.968978563788596
541,8.346255059308575
517,8.44781468077979
134,8.89847885939897
427,9.236940126264136
420,9.337581046074098
454,9.355678142065818
469,9.895196057545343
548,9.939730460221638
150,10.490835330113997
12,10.596520858085537
495,10.627726759625522
180,10.95997280907869
333,11.539281480581494
28,11.964624527938044
142,12.506990913158608
585,12.794207452711328
341,13.40243929604887
273,14.544465086846037
525,15.136495390221075
415,15.530452864299459
417,16.418905095783153
523,17.202425110957847
182,17.32848273514806
68,17.90962174435999
48,20.45577630683588
457,20.578045151516644
550,20.637393621639156
547,21.410454631229506
497,23.794579181446405
64,24.66564430255464
470,24.74531085547544
478,25.526483726866594
201,25.94458342245597
154,27.396895791601715
343,28.746085293023043
338,31.724842344980736
332,31.727376304907974
520,32.51698245164063
335,33.301532229140186
283,34.346399710072454
246,35.361401549134825
60,36.20328596180795
339,36.76069756719637
440,38.014157617888934
6,38.55645809086128
43,38.84884834815399
424,39.93439939177934
516,40.752695137021014
429,41.41425080456852
117,42.05748769532686
133,42.52318906178014
324,43.74195260073548
494,43.76087456670305
183,46.702619599379474
421,47.740413366225326
562,48.417790509745636
63,50.46831850388415
522,50.472995257663
65,50.495314269348206
185,51.64495381273325
268,53.676580483061805
287,54.45364181082939
336,56.84185560804858
45,61.57141799696429
456,65.98830051929762
270,70.36917514352716
187,74.0832454142066
62,74.17504729619955
50,74.67126809862557
467,75.04225504560007
200,75.19156968705607
344,78.82179727201022
569,88.58150565759357
59,90.47508507024196
70,90.64752676161162
286,95.151282265502
471,103.13525624240592
477,103.34124348425675
197,110.92348626745267
428,112.35106529128657
205,132.69281006234104
66,134.5785174579885
519,144.53607343665237
346,145.6275466227251
46,148.02200898331643
138,151.07103703044487
345,152.62793224510216
73,154.16327616666436
577,155.88189176043318
72,167.630073733867
460,177.71956492973257
202,212.8865079117977
476,222.40220104902497
196,246.05898339572326
199,269.4535684543356
576,286.3327187618893
361,290.9175070439967
15,295.9994007339359
388,296.7696399335292
203,303.74613435413806
207,304.993080698653
570,306.2407606984486
272,313.22031144651345
271,317.9871187712103
490,325.5493758344836
412,336.23053678870497
148,350.76309870201067
561,361.7647794405282
390,413.16315191933387
524,426.9766858652175
188,471.1102857148722
473,502.18661314986196
425,539.8929811712667
152,544.8346985949812
40,571.778836395407
496,588.409719728413
474,613.5262029296915
55,661.3458031673379
574,724.6944964490278
208,784.7462534411958
2,863.2415829675592
151,959.3340938276234
71,998.0155698416718
555,1035.280475802463
423,1060.6394673624943
438,1161.9135428064094
434,1161.9543310122385
435,1179.8033492460236
436,1192.7453629618515
480,1273.4427194755935
430,1298.7372603759475
431,1322.9795296322625
510,1418.9508121937233
439,1470.884708395012
293,1683.760335190811
413,2218.336499168238
472,2264.9340640043383
115,2396.0290622552675
137,2718.283735408053
88,2866.2384441299687
136,2895.1798424562803
250,2980.862326808877
223,3042.184631248854
4,3147.627515205106
581,3175.1752710900328
135,3301.066941003014
51,3709.92652085046
252,4141.534582737881
0,5399.434065090495
1,6436.55500106507
274,7269.022362252646
572,7448.498015119964
589,8810.55521637089
521,10634.352249241356
158,14510.969986371601
432,15905.441144377835
363,18655.921190836096
275,28289.37982232062
483,36677.816241183566
484,44815.17347542064
485,47209.65287141816
433,50914.76989238097
489,51250.16633516986
468,53039.58556455401
488,62552.72532691772
340,68245.35460230334
139,68760.24275095899
487,68787.57011061293
482,77766.49260461077
295,80291.15947902111
486,81354.26395439482
418,82668.57246800282
22,87209.46137097063
67,94196.31560200317
500,104272.02894630832
499,105430.0734520003
419,105783.09487597627
511,108637.15227489718
90,151949.52975735473
