,count,mean,std,min,25%,50%,75%,max
0,1561.0,3014.4528955797564,73.62178674853077,2743.24,2966.26,3011.49,3056.65,3356.35
1,1560.0,2495.850230769231,80.40770497881121,2158.75,2452.2475000000004,2499.4049999999997,2538.8225,2846.44
2,1553.0,2200.5473177076624,29.513152057457155,2060.66,2181.0444,2201.0667,2218.0555,2315.2667
3,1553.0,1396.3766273663878,441.6916403756737,0.0,1081.8758,1285.2144,1591.2235,3715.0417
4,1553.0,4.197013135866065,56.35554009369094,0.6815,1.0177,1.3168,1.5257,1114.5366
5,1553.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
6,1553.0,101.11290824211203,6.237213788938685,82.1311,97.92,101.5122,104.5867,129.2522
7,1558.0,0.12182150192554556,0.008961318060306013,0.0,0.1211,0.1224,0.1238,0.1286
8,1565.0,1.4628616613418528,0.07389656150907685,1.1909999999999998,1.4112,1.4616,1.5169,1.6564
9,1565.0,-0.0008410223642172522,0.015116189521664191,-0.0534,-0.0108,-0.0013,0.0084,0.0749
10,1565.0,0.0001457507987220444,0.009302105069446658,-0.0349,-0.0056,0.0004,0.0059,0.053
11,1565.0,0.9643527795527156,0.012452051783214598,0.6554,0.9581,0.9658,0.9713,0.9848
12,1565.0,199.9568092651757,3.2572756729454815,182.094,198.1307,199.5356,202.0071,272.0451
13,1564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1564.0,9.005370524296675,2.7965955707527526,2.2493,7.094875,8.966999999999999,10.861875,19.5465
15,1564.0,413.08603542199484,17.221094563789936,333.4486,406.12739999999997,412.2191,419.089275,824.9271
16,1564.0,9.907602813299233,2.403866634483626,4.4696,9.567625,9.85175,10.128175,102.8677
17,1564.0,0.971443925831202,0.012062412664690256,0.5794,0.9682,0.9726,0.9768,0.9848
18,1564.0,190.04735358056266,2.7810407145023497,169.1774,188.299825,189.6642,192.189375,215.5977
19,1557.0,12.481033975594091,0.217965260098252,9.8773,12.46,12.4996,12.5471,12.9898
20,1567.0,1.4050542437779197,0.01673693251882698,1.1797,1.3965,1.406,1.415,1.4534
21,1565.0,-5618.393610223642,626.8221783421311,-7150.25,-5933.25,-5523.25,-5356.25,0.0
22,1565.0,2699.3784345047925,295.49853453043056,0.0,2578.0,2664.0,2841.75,3656.25
23,1565.0,-3806.2997336741214,1380.1621478092084,-9986.75,-4371.75,-3820.75,-3352.75,2363.0
24,1565.0,-298.59813591054314,2902.6901174771046,-14804.5,-1476.0,-78.75,1377.25,14106.0
25,1565.0,1.2038447284345049,0.17760047570306497,0.0,1.0948,1.283,1.3043,1.3828
26,1565.0,1.938476805111821,0.18949504806307088,0.0,1.9065,1.9865,2.0032,2.0528
27,1565.0,6.638627987220448,1.244249271997308,0.0,5.2637,7.2647,7.3297,7.6588
28,1565.0,69.49953233226836,3.4611809382184786,59.4,67.3778,69.1556,72.2667,77.9
29,1565.0,2.366197444089457,0.4086942024843982,0.6667,2.0889,2.3778,2.6556,3.5111
30,1565.0,0.18415891373801918,0.032943943011913765,0.0341,0.1617,0.1867,0.2071,0.2851
31,1565.0,3.673189392971246,0.5353218337891784,2.0698,3.3627,3.431,3.5313,4.8044
32,1566.0,85.3374687100894,2.026549205778641,83.1829,84.4905,85.13544999999999,85.7419,105.6038
33,1566.0,8.960278544061303,1.3444563668120262,7.6032,8.58,8.7698,9.0606,23.3453
34,1566.0,50.58263856960409,1.1826181758105365,49.8348,50.25235,50.3964,50.5788,59.7711
35,1566.0,64.55578703703704,2.574748594677452,63.6774,64.0248,64.1658,64.3447,94.2641
36,1566.0,49.417370498084296,1.1826188859654572,40.2289,49.4212,49.6036,49.74765,50.1652
37,1566.0,66.2212735632184,0.3041407986805711,64.9193,66.04065,66.23179999999999,66.343275,67.9586
38,1566.0,86.83657656449553,0.4467555823322132,84.7327,86.5783,86.8207,87.0024,88.4188
39,1566.0,118.67955440613028,1.8072208583386924,111.7128,118.0156,118.39930000000001,118.9396,133.3898
40,1543.0,67.9049092676604,24.06294300863671,1.4340000000000002,74.8,78.29,80.2,86.12
41,1543.0,3.3530661697990927,2.3604249902068566,-0.0759,2.69,3.074,3.5210000000000004,37.88
42,1566.0,70.0,0.0,70.0,70.0,70.0,70.0,70.0
43,1566.0,355.53890357598976,6.234706194564162,342.7545,350.801575,353.72090000000003,360.77225,377.2973
44,1566.0,10.031165006385697,0.17503759519923412,9.464,9.925425,10.03485,10.152474999999999,11.053
45,1566.0,136.74305977011497,7.849247454551085,108.8464,130.72887500000002,136.4,142.098225,176.3136
46,1566.0,733.6728114942529,12.170314705663275,699.8139,724.4423,733.45,741.4545,789.7523
47,1566.0,1.177958109833972,0.18963690625019128,0.4967,0.985,1.25105,1.34035,1.5111
48,1566.0,139.97223090676883,4.5242509086914,125.7982,136.9268,140.00775,143.19570000000002,163.2509
49,1566.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
50,1566.0,632.254196743295,8.643985374141904,607.3927,625.928425,631.3709,638.1363249999999,667.7418
51,1566.0,157.4209913154534,60.92510825477898,40.2614,115.508975,183.31815,206.97715,258.5432
52,1566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1563.0,4.592971209213052,0.054949620183109386,3.706,4.574,4.596,4.617,4.763999999999999
54,1563.0,4.838522712731926,0.059580672688929186,3.932,4.816,4.843,4.869,5.011
55,1563.0,2856.1721049264233,25.749317256276903,2801.0,2836.0,2854.0,2874.0,2936.0
56,1563.0,0.9288493282149711,0.006807361515537244,0.8755,0.92545,0.931,0.9331,0.9378
57,1563.0,0.9492150351887396,0.004175952180674276,0.9319,0.94665,0.9493,0.952,0.9598
58,1563.0,4.593311772232886,0.08509477590107162,4.2199,4.5319,4.5727,4.6686,4.8475
