feature,ranking,selected
0,1,True
1,117,False
2,1,True
3,34,False
6,33,False
7,83,False
8,1,True
9,1,True
10,3,False
11,4,False
14,1,True
15,1,True
16,1,True
17,80,False
18,121,False
19,1,True
20,104,False
21,1,True
22,13,False
23,123,False
24,1,True
25,1,True
26,45,False
28,1,True
29,87,False
30,32,False
31,1,True
32,17,False
33,1,True
34,129,False
35,1,True
37,1,True
38,73,False
39,1,True
40,29,False
41,1,True
43,1,True
44,46,False
45,51,False
46,59,False
47,1,True
48,1,True
51,88,False
53,43,False
55,1,True
56,1,True
57,1,True
58,1,True
59,1,True
60,137,False
61,65,False
62,6,False
63,1,True
64,1,True
65,1,True
66,40,False
67,1,True
68,102,False
70,36,False
71,47,False
75,1,True
76,1,True
77,42,False
78,64,False
79,1,True
80,21,False
81,1,True
82,101,False
83,72,False
84,107,False
86,31,False
87,69,False
88,1,True
89,55,False
90,1,True
91,1,True
92,1,True
95,147,False
96,92,False
98,5,False
100,57,False
101,144,False
102,1,True
103,1,True
104,124,False
106,76,False
107,1,True
108,120,False
113,105,False
115,1,True
116,12,False
118,103,False
119,84,False
120,50,False
122,1,True
123,19,False
124,1,True
125,1,True
126,1,True
128,20,False
129,1,True
130,1,True
131,1,True
132,1,True
133,1,True
134,89,False
137,1,True
139,1,True
144,1,True
154,11,False
156,1,True
159,44,False
162,109,False
165,95,False
168,112,False
173,1,True
181,18,False
182,1,True
183,1,True
184,67,False
185,113,False
200,1,True
212,24,False
213,15,False
217,1,True
221,68,False
222,110,False
223,77,False
227,1,True
248,115,False
249,156,False
252,1,True
254,93,False
269,53,False
271,1,True
273,1,True
275,108,False
277,91,False
280,1,True
281,1,True
282,1,True
285,7,False
288,1,True
295,1,True
296,27,False
298,35,False
302,118,False
304,106,False
309,25,False
310,1,True
316,1,True
323,16,False
324,60,False
332,48,False
333,1,True
334,114,False
337,136,False
338,1,True
339,10,False
344,1,True
348,1,True
349,74,False
352,56,False
353,23,False
354,79,False
357,132,False
362,125,False
366,97,False
367,94,False
368,139,False
376,138,False
377,1,True
393,96,False
405,1,True
406,58,False
408,38,False
412,14,False
416,1,True
418,143,False
419,130,False
423,1,True
424,63,False
425,1,True
428,1,True
432,133,False
433,81,False
434,100,False
437,85,False
438,142,False
439,78,False
441,134,False
442,75,False
447,41,False
448,131,False
452,1,True
460,1,True
467,54,False
468,1,True
471,71,False
472,140,False
473,86,False
474,70,False
476,2,False
477,1,True
480,1,True
482,135,False
483,111,False
484,1,True
485,141,False
486,1,True
487,119,False
488,1,True
489,1,True
490,1,True
496,128,False
497,22,False
499,150,False
500,149,False
510,1,True
511,122,False
521,157,False
522,39,False
523,126,False
525,1,True
542,145,False
544,148,False
545,8,False
546,99,False
547,37,False
548,82,False
551,1,True
552,1,True
553,62,False
555,90,False
558,28,False
560,52,False
561,9,False
562,49,False
563,1,True
566,127,False
567,146,False
570,116,False
571,1,True
574,26,False
577,98,False
582,1,True
585,61,False
586,1,True
588,30,False
589,66,False
NA_72,151,False
NA_85,155,False
NA_109,158,False
NA_112,152,False
NA_157,153,False
NA_578,154,False
