feature,ranking,selected
0,1,True
1,21,False
2,1,True
3,46,False
6,75,False
7,34,False
8,1,True
9,1,True
10,117,False
11,33,False
14,1,True
15,1,True
16,29,False
17,45,False
18,1,True
19,1,True
20,19,False
21,1,True
22,37,False
23,114,False
24,1,True
25,1,True
26,13,False
28,1,True
29,134,False
30,1,True
31,1,True
32,54,False
33,1,True
34,28,False
35,9,False
37,1,True
38,84,False
39,1,True
40,6,False
41,121,False
43,93,False
44,72,False
45,23,False
46,49,False
47,103,False
48,65,False
51,1,True
53,4,False
55,1,True
56,1,True
57,42,False
58,1,True
59,1,True
60,110,False
61,94,False
62,60,False
63,1,True
64,1,True
65,91,False
66,3,False
67,1,True
68,1,True
70,68,False
71,1,True
75,1,True
76,8,False
77,1,True
78,17,False
79,1,True
80,102,False
81,1,True
82,15,False
83,22,False
84,1,True
86,56,False
87,77,False
88,1,True
89,61,False
90,1,True
91,1,True
92,1,True
95,141,False
96,109,False
98,1,True
100,1,True
101,143,False
102,1,True
103,1,True
104,74,False
106,24,False
107,1,True
108,64,False
113,76,False
115,7,False
116,1,True
118,111,False
119,11,False
120,14,False
122,1,True
123,83,False
124,1,True
125,1,True
126,1,True
128,130,False
129,1,True
130,1,True
131,1,True
132,1,True
133,2,False
134,53,False
137,31,False
139,1,True
144,1,True
154,1,True
156,1,True
159,88,False
162,1,True
165,1,True
168,127,False
173,1,True
181,16,False
182,1,True
183,1,True
184,35,False
185,20,False
200,1,True
212,43,False
213,122,False
217,1,True
221,104,False
222,82,False
223,69,False
227,1,True
248,66,False
249,137,False
252,1,True
254,67,False
269,1,True
271,1,True
273,47,False
275,1,True
277,30,False
280,1,True
281,1,True
282,41,False
285,12,False
288,52,False
295,1,True
296,1,True
298,126,False
302,90,False
304,123,False
309,48,False
310,1,True
316,1,True
323,39,False
324,26,False
332,107,False
333,1,True
334,1,True
337,1,True
338,1,True
339,10,False
344,1,True
348,1,True
349,1,True
352,44,False
353,1,True
354,1,True
357,133,False
362,80,False
366,59,False
367,57,False
368,124,False
376,95,False
377,1,True
393,50,False
405,1,True
406,1,True
408,119,False
412,1,True
416,1,True
418,101,False
419,1,True
423,1,True
424,63,False
425,25,False
428,1,True
432,86,False
433,1,True
434,120,False
437,32,False
438,62,False
439,100,False
441,96,False
442,112,False
447,92,False
448,97,False
452,51,False
460,1,True
467,40,False
468,58,False
471,1,True
472,89,False
473,36,False
474,129,False
476,115,False
477,1,True
480,1,True
482,113,False
483,78,False
484,1,True
485,98,False
486,1,True
487,128,False
488,1,True
489,1,True
490,5,False
496,99,False
497,81,False
499,136,False
500,108,False
510,1,True
511,1,True
521,145,False
522,105,False
523,118,False
525,71,False
542,131,False
544,125,False
545,1,True
546,85,False
547,1,True
548,116,False
551,1,True
552,73,False
553,1,True
555,18,False
558,38,False
560,87,False
561,1,True
562,132,False
563,1,True
566,1,True
567,55,False
570,70,False
571,27,False
574,1,True
577,106,False
582,1,True
585,79,False
586,1,True
588,1,True
589,1,True
NA_72,144,False
NA_85,139,False
NA_109,138,False
NA_112,135,False
NA_157,142,False
NA_578,140,False
