feature,n_models,mean_tp_mean_positive_shap,max_tp_mean_positive_shap,mean_fp_mean_positive_shap,mean_tp_fp_shap_gap,mean_tp_positive_push_rate,mean_fp_positive_push_rate,mean_tp_vs_tn_smd,mean_tp_vs_fp_smd,avg_tp_trigger_rate,avg_fp_trigger_rate,avg_tn_trigger_rate,fp_evidence_coverage,dominant_monitor_direction,appeared_in_topn_models,avg_rank,best_rank,worst_rank,avg_mean_positive_shap,max_mean_positive_shap,appeared_categories,appeared_feature_sets,tp_fp_ratio,score_tp_shap,score_gap,score_ratio,score_fp_penalty,final_candidate_score,tp_signal_available,gap_positive,ratio_pass,tp_fp_priority_candidate,recommendation
62,1,0.5590678188920222,0.5590678188920222,0.27867889420763625,0.2803889246843859,0.5357142857142857,0.4625,-0.4830222605577069,-0.23438234361473495,0.14285714285714285,0.04864864864864865,0.01015228426395939,1.0,low,1.0,6.0,6.0,6.0,0.5590678188920222,0.5590678188920222,supervised,Base,2.0061362037538286,0.9540450693274399,1.0,0.09437902766872713,0.6258505621923185,0.7630788894839533,1,1,1,1,monitor_first
64,10,0.5413303904626329,1.4382983169994314,0.3189222794667911,0.22240811099584185,0.7213165411476551,0.46657534246575344,1.1191220407702498,0.42484674242261233,0.2241801443600544,0.12428086759922168,0.01032609090133906,1.0,high,10.0,1.9,1.0,4.0,0.5413303904626329,1.4382983169994314,supervised,"ANOVA,Base,RFERF,RFEXGB",1.697374016539979,0.9237762798107327,0.8679928400788015,0.08508592520287656,0.5718204928790245,0.7041075982764113,1,1,1,1,monitor_first
558,1,0.4106489566723353,0.4106489566723353,0.17240742242559587,0.23824153424673944,0.5,0.25,0.5095345239353838,0.44948626204888614,0.07142857142857142,0.016216216216216217,0.012182741116751269,1.0,high,,,,,,,,,2.3818519579663393,0.7007693862868658,0.9040414068755491,0.1044773886183499,0.7685287924016724,0.6492685335412482,1,1,1,1,monitor_first
168,1,0.42636516533942903,0.42636516533942903,0.2649881562870624,0.16137700905236663,0.35714285714285715,0.4125,0.16339295738121218,0.20946071620869391,0.0,0.0,0.01116751269035533,1.0,low,,,,,,,,,1.6089970635425173,0.7275889793320843,0.7290409709709152,0.08222941609143287,0.6442315088754873,0.5906169171299435,1,1,1,1,monitor_first
104,1,0.3654669025770228,0.3654669025770228,0.16751813923897144,0.19794876333805136,0.39285714285714285,0.4,-0.41314927786582406,-0.1902343871763071,0.0,0.0,0.01015228426395939,1.0,high,,,,,,,,,2.1816556955403463,0.6236665474628627,0.8123052977277342,0.09924489448705069,0.775093058995163,0.5905164931003918,1,1,1,1,monitor_first
249,3,0.11608402759776622,0.33927696051763767,0.0,0.11608402759776622,0.024725274725274724,0.0,0.5216490952008942,0.277455218140355,,,,1.0,flat,,,,,,,,,116084.02759776622,0.1980965285692993,0.6259206891773079,1.0,1.0,0.5670148181809122,1,1,1,1,monitor_first
61,1,0.2760715645346984,0.2760715645346984,0.13262921413182127,0.14344235040287712,0.6071428571428571,0.525,0.5415038025023344,0.40164653687191315,0.10714285714285714,0.04864864864864865,0.01015228426395939,1.0,high,,,,,,,,,2.081529068401993,0.47111406885809504,0.6882084403135705,0.09650303363227347,0.8219343232095552,0.49640219868471935,1,1,1,1,monitor_first
108,1,0.2898638319098771,0.2898638319098771,0.16764042180748512,0.12222341010239196,0.7142857142857143,0.425,-0.38398457673025904,-0.4039692079151411,0.0,0.005405405405405406,0.01015228426395939,1.0,low,,,,,,,,,1.7290807836474598,0.49465047041705573,0.6398984586591058,0.08608798759157794,0.7749288845448762,0.4845402117373572,1,1,1,1,monitor_first
20,1,0.20589599006249562,0.20589599006249562,0.10251485766561438,0.10338113239688124,0.6785714285714286,0.4125,0.349801701144709,0.38377136045427723,0.0,0.010810810810810811,0.01015228426395939,1.0,high,,,,,,,,,2.008450235907194,0.3513599736481248,0.596999516610584,0.09444500848533502,0.8623653345848783,0.4247693795979799,1,1,1,1,monitor_first
75,8,0.189306682579572,0.5093435475986309,0.10254248734308746,0.08676419523648454,0.6051404276583966,0.44535530821917807,0.30877474808806793,0.3339690331476789,0.05952405685489511,0.053850439992011306,0.010379472671926602,1.0,low,2.0,5.5,4.0,7.0,0.3769939582781808,0.5093435475986309,supervised,RFEXGB,1.8461292239400067,0.32305044397602456,0.5591670934073477,0.08968898049977528,0.8623282394603166,0.4011409256586009,1,1,1,1,monitor_first
