feature,appeared_in_topn_models,avg_rank,best_rank,worst_rank,avg_mean_positive_shap,max_mean_positive_shap,appeared_categories,appeared_feature_sets
64,10,1.9,1,4,0.5413303904626329,1.4382983169994314,supervised,"ANOVA,Base,RFERF,RFEXGB"
59,10,2.1,1,6,0.5859972834261808,1.552399457054804,supervised,"ANOVA,Base,RFERF,RFEXGB"
132,6,6.333333333333333,4,10,0.3331806384204989,0.4608962641312496,supervised,"Base,RFERF,RFEXGB"
129,6,7.0,5,9,0.23425585957622216,0.41267470516548105,supervised,"RFERF,RFEXGB"
56,5,3.0,3,3,0.6391995452779533,0.8880664638741064,supervised,"Base,RFERF,RFEXGB"
103,5,3.2,2,6,0.041098120409300394,0.05525434367629766,supervised,"ANOVA,RFERF"
65,5,4.8,3,6,0.030255305389412523,0.06298799756210248,supervised,"ANOVA,RFERF"
510,5,7.6,5,10,0.025004725757806583,0.04986806785840351,supervised,"ANOVA,RFERF"
477,4,3.75,3,4,0.20650166600886882,0.7637730754604001,supervised,"Base,RFERF"
348,4,5.75,5,8,0.16406919877048115,0.6008928918685454,supervised,"Base,RFERF"
55,4,7.5,6,10,0.3309032165553797,0.42477090430774134,supervised,"RFERF,RFEXGB"
280,3,6.333333333333333,5,9,0.3664044215021754,0.4511380216668713,supervised,"RFERF,RFEXGB"
38,2,2.0,2,2,0.05470986941378132,0.07034231462365358,supervised,ANOVA
75,2,5.5,4,7,0.3769939582781808,0.5093435475986309,supervised,RFEXGB
100,2,7.0,7,7,0.041377144941887656,0.05243716508048185,supervised,ANOVA
486,2,7.0,5,9,0.01599645456498612,0.019690796096020195,supervised,RFERF
333,2,7.5,6,9,0.4222407457978674,0.449507690569758,supervised,"Base,RFEXGB"
21,2,7.5,6,9,0.3836452702731622,0.4360840612234356,supervised,"RFERF,RFEXGB"
43,2,7.5,6,9,0.36288512664860595,0.3729842200931759,supervised,RFERF
582,2,7.5,5,10,0.13768992982517628,0.21622404157388297,supervised,"ANOVA,RFEXGB"
122,2,8.5,7,10,0.19210034890796118,0.3728491445498552,supervised,"RFERF,RFEXGB"
70,2,8.5,8,9,0.03864465035518476,0.04840294537553844,supervised,ANOVA
63,2,9.0,8,10,0.028898419243542944,0.04753558623437861,supervised,"ANOVA,RFERF"
62,1,6.0,6,6,0.5590678188920222,0.5590678188920222,supervised,Base
545,1,7.0,7,7,0.4570392068444738,0.4570392068444738,supervised,Base
377,1,7.0,7,7,0.016848221386692286,0.016848221386692286,supervised,RFERF
511,1,8.0,8,8,0.24079912297838055,0.24079912297838055,supervised,RFEXGB
133,1,9.0,9,9,0.2958462269196339,0.2958462269196339,supervised,RFERF
95,1,9.0,9,9,0.02829064725358302,0.02829064725358302,supervised,ANOVA
25,1,9.0,9,9,0.009914474729941052,0.009914474729941052,supervised,RFERF
471,1,10.0,10,10,0.44093326420455886,0.44093326420455886,supervised,Base
19,1,10.0,10,10,0.28798871217152194,0.28798871217152194,supervised,RFERF
137,1,10.0,10,10,0.28616069220539325,0.28616069220539325,supervised,RFERF
79,1,10.0,10,10,0.02819529128644926,0.02819529128644926,supervised,ANOVA
