artifact_key,feature_set,category,model,balance_method,feature,group,n,non_null_n,missing_rate,mean,median,std,p01,p05,p25,p50,p75,p95,p99,group_source,threshold
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,0,TP,58,58,0.0,-0.20968966338681153,-0.32063908067177155,1.0365015879430206,-1.920317738622471,-1.541805473560042,-1.0344637543696107,-0.32063908067177155,0.3500751607156146,2.1890354036256507,2.350703528854787,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,0,FP,263,263,0.0,-0.09850450601398057,-0.0735882750784055,0.9937716482774924,-2.3197459041411572,-1.6643365335681377,-0.7145723344312572,-0.0735882750784055,0.45715053013067636,1.2669192727646528,2.62946519393001,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,0,TN,907,907,0.0,0.038273176446524566,-0.0179317726837895,0.9798191038736922,-2.025014693474767,-1.4241860665210622,-0.5659547914662602,-0.0179317726837895,0.6244537093912258,1.6811130950217437,2.7794708127341066,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,0,FN,25,25,0.0,0.0911709882693368,-0.4965509995113439,1.4704631775029424,-1.8729616628080041,-1.6783107201406025,-0.8631898773962512,-0.4965509995113439,0.6073696990638623,3.01797694378717,3.2943054720790568,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,0,pred_anomaly,321,321,0.0,-0.11859403600657933,-0.1523348851810995,1.0008919227319268,-2.2432842804197484,-1.664536736814161,-0.7522772790990695,-0.1523348851810995,0.4442707879698133,1.3403805171723182,2.5078590729185457,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,0,pred_normal,932,932,0.0,0.03969210916709358,-0.022202775265632697,0.9950271447522571,-2.0204767532315606,-1.4268087290439746,-0.5711934430705485,-0.022202775265632697,0.6223849425156454,1.8228503197650594,2.8600179173627014,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,2,TP,58,58,0.0,0.02415213021501333,-0.13603606623267728,1.1258109253641615,-1.7585183627810252,-1.2954784589568804,-0.9333982971083525,-0.13603606623267728,0.743915660628753,1.624505108342216,3.2150251736524504,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,2,FP,263,263,0.0,0.055073116574367066,-0.0945529583060222,0.9254434092836964,-1.8104976970945754,-1.147192734588653,-0.6158048661663451,-0.0945529583060222,0.6763425902155606,1.6133925479800868,2.4932627817186046,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,2,TN,907,907,0.0,-0.013731836203188444,0.0668723496040478,1.0154005706726648,-2.5553411916221265,-1.6251583471383353,-0.6540968358427355,0.0668723496040478,0.5856814909689401,1.5035501569659848,2.241971777173737,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,2,FN,25,25,0.0,-0.11554642467584944,-0.1482363840957742,0.8134503443644492,-1.2311491662158016,-1.005740674831303,-0.8652643702107332,-0.1482363840957742,0.3311573852970869,1.4365028050406063,1.7574750246494093,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,2,pred_anomaly,321,321,0.0,0.049486147076415306,-0.0945529583060222,0.9628713895736808,-1.8112866802647154,-1.2200229898799937,-0.6527842289499698,-0.0945529583060222,0.6836624430680721,1.61992449883158,2.7146082395253006,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,2,pred_normal,932,932,0.0,-0.016462914220158973,0.062366915134253645,1.0102874471163579,-2.5553411916221265,-1.5710245468342707,-0.65653791301141,0.062366915134253645,0.5797696919711691,1.5035501569659848,2.241971777173737,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,8,TP,58,58,0.0,0.06921173077610554,0.10882140499224374,0.7656382496330989,-1.50619906912634,-1.294045356748731,-0.29043990724949253,0.10882140499224374,0.598162029410654,1.2526254832175874,1.5589086903795184,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,8,FP,263,263,0.0,0.2226598793560035,0.1623271618490666,0.86646441021197,-1.61758586371714,-1.271356206689193,-0.28739211097283757,0.1623271618490666,0.9384992803037348,1.5598433479043583,2.018990470542045,train_oof,0.20232788980713348
