feature,n_models,mean_tp_missing_rate,mean_fp_missing_rate,mean_tn_missing_rate,mean_missing_tp_tn_gap,mean_missing_tp_fp_gap,overall_missing_rate,dominant_missing_signal_type,has_missing_signal
0,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
10,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
100,5,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
101,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
102,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
103,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
104,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
106,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
107,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
108,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
11,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
113,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
115,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
116,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
118,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
119,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
120,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
122,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
123,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
124,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
125,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
126,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
128,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
129,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
130,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
131,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
132,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
133,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
134,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
137,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
139,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
14,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
144,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
