pair_key,n_models,feature_a,feature_b,mean_support_n,max_support_n,mean_pair_precision,max_pair_precision,mean_pair_recall,mean_pair_fp_rate,mean_pair_precision_lift,max_pair_precision_lift,dominant_recommendation,representative_rule_desc,is_interaction_candidate
65 || 70,2,65,70,14.0,14,0.35714285714285715,0.35714285714285715,0.060240963855421686,0.007692307692307693,5.3915662650602405,5.3915662650602405,interaction_candidate,65(high) AND 70(low),1
510 || 64,4,510,64,17.25,21,0.3449317226890756,0.38095238095238093,0.07228915662650602,0.009615384615384616,5.207222271438695,5.751004016064257,interaction_candidate,510(high) AND 64(high),1
63 || 70,2,63,70,15.0,15,0.3333333333333333,0.3333333333333333,0.060240963855421686,0.008547008547008548,5.032128514056224,5.032128514056224,interaction_candidate,63(high) AND 70(low),1
510 || 65,5,510,65,16.0,19,0.33302005012531327,0.42105263157894735,0.06506024096385542,0.00905982905982906,5.0273990699640665,6.356372859860493,interaction_candidate,510(high) AND 65(high),1
510 || 63,2,510,63,10.0,10,0.3,0.3,0.03614457831325301,0.005982905982905983,4.5289156626506015,4.5289156626506015,interaction_candidate,510(high) AND 63(high),1
103 || 65,5,103,65,15.0,23,0.2849068322981366,0.35714285714285715,0.05060240963855421,0.009230769230769232,4.301063383970665,5.3915662650602405,interaction_candidate,103(high) AND 65(high),1
64 || 70,2,64,70,18.0,18,0.2777777777777778,0.2777777777777778,0.060240963855421686,0.011111111111111112,4.193440428380187,4.193440428380187,interaction_candidate,64(high) AND 70(low),1
165 || 21,1,165,21,22.0,22,0.2727272727272727,0.2727272727272727,0.07228915662650602,0.013675213675213675,4.117196056955092,4.117196056955092,interaction_candidate,165(high) AND 21(high),1
63 || 65,2,63,65,42.0,42,0.2619047619047619,0.2619047619047619,0.13253012048192772,0.026495726495726495,3.9538152610441766,3.9538152610441766,interaction_candidate,63(high) AND 65(high),1
103 || 510,5,103,510,36.8,53,0.259788071733162,0.29411764705882354,0.11325301204819276,0.023418803418803417,3.9218608901403846,4.4401133947554925,interaction_candidate,103(high) AND 510(high),1
63 || 64,2,63,64,43.0,43,0.2558139534883721,0.2558139534883721,0.13253012048192772,0.02735042735042735,3.86186606892687,3.86186606892687,interaction_candidate,63(high) AND 64(high),1
64 || 65,4,64,65,74.5,82,0.24840731270215927,0.2638888888888889,0.22289156626506024,0.04786324786324786,3.75005256404585,3.9837684069611776,interaction_candidate,64(high) AND 65(high),1
38 || NA_72,1,38,NA_72,35.0,35,0.22857142857142856,0.22857142857142856,0.0963855421686747,0.023076923076923078,3.4506024096385537,3.4506024096385537,interaction_candidate,38(high) AND NA_72(low),1
