feature,n_models,n_drop,n_false_positive_risk,n_monitor_first,n_review,recommendation_consistency_score
0,8,8,0,0,0,1.0
1,1,1,0,0,0,1.0
10,1,1,0,0,0,1.0
100,5,3,0,0,2,0.6
101,1,1,0,0,0,1.0
102,8,7,0,0,1,0.875
103,10,0,0,5,5,0.5
104,1,1,0,0,0,1.0
106,1,1,0,0,0,1.0
107,8,7,0,0,1,0.875
108,1,1,0,0,0,1.0
11,1,1,0,0,0,1.0
113,1,1,0,0,0,1.0
115,6,6,0,0,0,1.0
116,3,3,0,0,0,1.0
118,1,1,0,0,0,1.0
119,1,1,0,0,0,1.0
120,1,1,0,0,0,1.0
122,10,6,0,0,4,0.6
123,3,3,0,0,0,1.0
124,10,8,0,0,2,0.8
125,10,8,0,0,2,0.8
126,8,8,0,0,0,1.0
128,1,1,0,0,0,1.0
129,10,6,0,0,4,0.6
130,10,9,0,0,1,0.9
131,8,8,0,0,0,1.0
132,8,8,0,0,0,1.0
133,8,8,0,0,0,1.0
134,1,1,0,0,0,1.0
137,6,6,0,0,0,1.0
139,8,8,0,0,0,1.0
14,10,6,0,0,4,0.6
144,8,8,0,0,0,1.0
15,8,8,0,0,0,1.0
154,3,3,0,0,0,1.0
156,8,8,0,0,0,1.0
159,3,3,0,0,0,1.0
16,8,8,0,0,0,1.0
162,3,3,0,0,0,1.0
165,5,3,0,0,2,0.6
168,1,1,0,0,0,1.0
17,1,1,0,0,0,1.0
173,8,8,0,0,0,1.0
18,3,3,0,0,0,1.0
181,1,1,0,0,0,1.0
182,8,8,0,0,0,1.0
183,8,8,0,0,0,1.0
184,1,1,0,0,0,1.0
185,1,1,0,0,0,1.0
19,8,8,0,0,0,1.0
2,8,8,0,0,0,1.0
20,1,1,0,0,0,1.0
200,10,10,0,0,0,1.0
21,10,6,0,1,3,0.6
212,1,1,0,0,0,1.0
213,1,1,0,0,0,1.0
217,8,8,0,0,0,1.0
22,3,3,0,0,0,1.0
221,1,1,0,0,0,1.0
222,1,1,0,0,0,1.0
223,1,1,0,0,0,1.0
227,8,8,0,0,0,1.0
23,1,1,0,0,0,1.0
24,8,8,0,0,0,1.0
248,1,1,0,0,0,1.0
249,3,3,0,0,0,1.0
25,8,8,0,0,0,1.0
252,8,8,0,0,0,1.0
254,1,1,0,0,0,1.0
26,3,3,0,0,0,1.0
269,3,3,0,0,0,1.0
271,8,8,0,0,0,1.0
273,6,6,0,0,0,1.0
275,3,3,0,0,0,1.0
277,1,1,0,0,0,1.0
28,10,7,0,0,3,0.7
280,8,8,0,0,0,1.0
281,8,7,0,0,1,0.875
282,6,6,0,0,0,1.0
285,1,1,0,0,0,1.0
288,6,6,0,0,0,1.0
29,1,1,0,0,0,1.0
295,10,10,0,0,0,1.0
296,3,3,0,0,0,1.0
298,3,3,0,0,0,1.0
3,1,1,0,0,0,1.0
30,3,3,0,0,0,1.0
302,1,1,0,0,0,1.0
304,1,1,0,0,0,1.0
309,1,1,0,0,0,1.0
31,8,8,0,0,0,1.0
310,8,8,0,0,0,1.0
316,10,9,1,0,0,0.9
32,3,3,0,0,0,1.0
323,1,1,0,0,0,1.0
324,1,1,0,0,0,1.0
33,10,10,0,0,0,1.0
332,1,1,0,0,0,1.0
333,8,4,4,0,0,0.5
334,3,3,0,0,0,1.0
337,5,5,0,0,0,1.0
338,8,8,0,0,0,1.0
339,1,1,0,0,0,1.0
34,1,1,0,0,0,1.0
344,8,8,0,0,0,1.0
348,10,3,0,2,5,0.5
349,3,3,0,0,0,1.0
35,6,6,0,0,0,1.0
352,1,1,0,0,0,1.0
353,3,3,0,0,0,1.0
354,3,3,0,0,0,1.0
357,1,1,0,0,0,1.0
362,1,1,0,0,0,1.0
366,1,1,0,0,0,1.0
367,1,1,0,0,0,1.0
368,1,1,0,0,0,1.0
37,8,8,0,0,0,1.0
376,1,1,0,0,0,1.0
377,10,9,0,0,1,0.9
38,3,2,0,1,0,0.6666666666666666
39,8,8,0,0,0,1.0
393,1,1,0,0,0,1.0
40,1,1,0,0,0,1.0
405,8,8,0,0,0,1.0
406,3,3,0,0,0,1.0
408,1,1,0,0,0,1.0
41,6,6,0,0,0,1.0
412,3,3,0,0,0,1.0
416,8,8,0,0,0,1.0
418,1,1,0,0,0,1.0
419,3,3,0,0,0,1.0
423,8,8,0,0,0,1.0
424,1,1,0,0,0,1.0
425,6,6,0,0,0,1.0
428,8,8,0,0,0,1.0
43,6,6,0,0,0,1.0
432,1,1,0,0,0,1.0
433,3,3,0,0,0,1.0
434,3,2,1,0,0,0.6666666666666666
437,3,1,0,0,2,0.6666666666666666
438,1,1,0,0,0,1.0
439,1,1,0,0,0,1.0
44,1,1,0,0,0,1.0
441,1,1,0,0,0,1.0
