artifact_key,feature_set,category,model,balance_method,threshold,group_source,train_csv,label_csv,test_csv,test_label_csv,n_rows,n_features,TP,FP,TN,FN,pred_anomaly,pred_normal,actual_anomaly,actual_normal,tp_shap_csv,fp_shap_csv,feature_stats_csv,group_distribution_csv,recommendation_csv,test_recommendation_csv,missingness_csv,class_distribution_csv,pair_rule_csv,pooled_recommendation_csv,split_validation_csv,raw_missing_train_csv,raw_missing_test_csv,raw_missing_pooled_csv,pair_test_csv,pair_pooled_csv
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,0.20232788980713348,train_oof,data/processed\X_train_rferf.csv,data/processed\y_train.csv,,,1253,99,58,263,907,25,321,932,83,1170,shap_rank__TP__RFERF_RF_ROSE.csv,shap_rank__FP__RFERF_RF_ROSE.csv,feature_stats_comparison__RFERF_RF_ROSE.csv,group_distribution_summary__RFERF_RF_ROSE.csv,monitor_feature_recommendation__RFERF_RF_ROSE.csv,,missingness_feature_stats__RFERF_RF_ROSE.csv,class_distribution_separation__RFERF_RF_ROSE.csv,pair_rule_candidates__RFERF_RF_ROSE.csv,,,,,,,
RFERF_RF_NoResample,RFERF,supervised,RF,NoResample,0.10516617787900674,train_oof,data/processed\X_train_rferf.csv,data/processed\y_train.csv,,,1253,99,51,218,952,32,269,984,83,1170,shap_rank__TP__RFERF_RF_NoResample.csv,shap_rank__FP__RFERF_RF_NoResample.csv,feature_stats_comparison__RFERF_RF_NoResample.csv,group_distribution_summary__RFERF_RF_NoResample.csv,monitor_feature_recommendation__RFERF_RF_NoResample.csv,,missingness_feature_stats__RFERF_RF_NoResample.csv,class_distribution_separation__RFERF_RF_NoResample.csv,pair_rule_candidates__RFERF_RF_NoResample.csv,,,,,,,
RFERF_LR_class_weight,RFERF,supervised,LR,class_weight,0.3472293893676648,train_oof,data/processed\X_train_rferf.csv,data/processed\y_train.csv,,,1253,99,48,181,989,35,229,1024,83,1170,shap_rank__TP__RFERF_LR_class_weight.csv,shap_rank__FP__RFERF_LR_class_weight.csv,feature_stats_comparison__RFERF_LR_class_weight.csv,group_distribution_summary__RFERF_LR_class_weight.csv,monitor_feature_recommendation__RFERF_LR_class_weight.csv,,missingness_feature_stats__RFERF_LR_class_weight.csv,class_distribution_separation__RFERF_LR_class_weight.csv,pair_rule_candidates__RFERF_LR_class_weight.csv,,,,,,,
ANOVA_SVM_class_weight,ANOVA,supervised,SVM,class_weight,0.07685139318795782,train_oof,data/processed\X_train_anova.csv,data/processed\y_train.csv,,,1253,50,46,276,894,37,322,931,83,1170,shap_rank__TP__ANOVA_SVM_class_weight.csv,shap_rank__FP__ANOVA_SVM_class_weight.csv,feature_stats_comparison__ANOVA_SVM_class_weight.csv,group_distribution_summary__ANOVA_SVM_class_weight.csv,monitor_feature_recommendation__ANOVA_SVM_class_weight.csv,,missingness_feature_stats__ANOVA_SVM_class_weight.csv,class_distribution_separation__ANOVA_SVM_class_weight.csv,pair_rule_candidates__ANOVA_SVM_class_weight.csv,,,,,,,
RFERF_RF_SMOTE,RFERF,supervised,RF,SMOTE,0.1755144641265648,train_oof,data/processed\X_train_rferf.csv,data/processed\y_train.csv,,,1253,99,65,319,851,18,384,869,83,1170,shap_rank__TP__RFERF_RF_SMOTE.csv,shap_rank__FP__RFERF_RF_SMOTE.csv,feature_stats_comparison__RFERF_RF_SMOTE.csv,group_distribution_summary__RFERF_RF_SMOTE.csv,monitor_feature_recommendation__RFERF_RF_SMOTE.csv,,missingness_feature_stats__RFERF_RF_SMOTE.csv,class_distribution_separation__RFERF_RF_SMOTE.csv,pair_rule_candidates__RFERF_RF_SMOTE.csv,,,,,,,
ANOVA_SVM_NoResample,ANOVA,supervised,SVM,NoResample,0.07569208662861764,train_oof,data/processed\X_train_anova.csv,data/processed\y_train.csv,,,1253,50,52,284,886,31,336,917,83,1170,shap_rank__TP__ANOVA_SVM_NoResample.csv,shap_rank__FP__ANOVA_SVM_NoResample.csv,feature_stats_comparison__ANOVA_SVM_NoResample.csv,group_distribution_summary__ANOVA_SVM_NoResample.csv,monitor_feature_recommendation__ANOVA_SVM_NoResample.csv,,missingness_feature_stats__ANOVA_SVM_NoResample.csv,class_distribution_separation__ANOVA_SVM_NoResample.csv,pair_rule_candidates__ANOVA_SVM_NoResample.csv,,,,,,,
Base_LR_SMOTE,Base,supervised,LR,SMOTE,0.12060301142481507,train_oof,data/processed\X_train_base.csv,data/processed\y_train.csv,,,1253,256,28,185,985,55,213,1040,83,1170,shap_rank__TP__Base_LR_SMOTE.csv,shap_rank__FP__Base_LR_SMOTE.csv,feature_stats_comparison__Base_LR_SMOTE.csv,group_distribution_summary__Base_LR_SMOTE.csv,monitor_feature_recommendation__Base_LR_SMOTE.csv,,missingness_feature_stats__Base_LR_SMOTE.csv,class_distribution_separation__Base_LR_SMOTE.csv,pair_rule_candidates__Base_LR_SMOTE.csv,,,,,,,
RFEXGB_LR_SMOTE,RFEXGB,supervised,LR,SMOTE,0.5483517567913296,train_oof,data/processed\X_train_rfexgb.csv,data/processed\y_train.csv,,,1253,112,23,73,1097,60,96,1157,83,1170,shap_rank__TP__RFEXGB_LR_SMOTE.csv,shap_rank__FP__RFEXGB_LR_SMOTE.csv,feature_stats_comparison__RFEXGB_LR_SMOTE.csv,group_distribution_summary__RFEXGB_LR_SMOTE.csv,monitor_feature_recommendation__RFEXGB_LR_SMOTE.csv,,missingness_feature_stats__RFEXGB_LR_SMOTE.csv,class_distribution_separation__RFEXGB_LR_SMOTE.csv,pair_rule_candidates__RFEXGB_LR_SMOTE.csv,,,,,,,
RFEXGB_LR_NoResample,RFEXGB,supervised,LR,NoResample,0.1905491962006118,train_oof,data/processed\X_train_rfexgb.csv,data/processed\y_train.csv,,,1253,112,28,118,1052,55,146,1107,83,1170,shap_rank__TP__RFEXGB_LR_NoResample.csv,shap_rank__FP__RFEXGB_LR_NoResample.csv,feature_stats_comparison__RFEXGB_LR_NoResample.csv,group_distribution_summary__RFEXGB_LR_NoResample.csv,monitor_feature_recommendation__RFEXGB_LR_NoResample.csv,,missingness_feature_stats__RFEXGB_LR_NoResample.csv,class_distribution_separation__RFEXGB_LR_NoResample.csv,pair_rule_candidates__RFEXGB_LR_NoResample.csv,,,,,,,
RFERF_LR_SMOTE,RFERF,supervised,LR,SMOTE,0.2526011564304778,train_oof,data/processed\X_train_rferf.csv,data/processed\y_train.csv,,,1253,99,45,188,982,38,233,1020,83,1170,shap_rank__TP__RFERF_LR_SMOTE.csv,shap_rank__FP__RFERF_LR_SMOTE.csv,feature_stats_comparison__RFERF_LR_SMOTE.csv,group_distribution_summary__RFERF_LR_SMOTE.csv,monitor_feature_recommendation__RFERF_LR_SMOTE.csv,,missingness_feature_stats__RFERF_LR_SMOTE.csv,class_distribution_separation__RFERF_LR_SMOTE.csv,pair_rule_candidates__RFERF_LR_SMOTE.csv,,,,,,,
