artifact_key,feature_set,category,model,balance_method,rank,feature,mean_positive_shap,mean_negative_shap_abs,mean_shap,mean_abs_shap,positive_push_rate,negative_push_rate,group_name,n_group_rows_total,n_explained_rows,source_train_csv,source_label_csv,group_source,threshold
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,1,59,0.03678435151597022,0.00970425117573548,0.027080100340234753,0.04648860269170569,0.75,0.25,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,2,103,0.019696473657232635,0.005486795927545284,0.014209677729687353,0.02518326958477791,0.7875,0.2125,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,3,64,0.009988865359496734,0.0045333805662858394,0.0054554847932108946,0.014522245925782573,0.45,0.55,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,4,65,0.00815043114530887,0.004330572926950723,0.0038198582183581473,0.012481004072259598,0.4125,0.5875,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,5,477,0.006924288034603737,0.01278053446288474,-0.005856246428281009,0.019704822497488474,0.35,0.65,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,6,348,0.005956906734802533,0.005887893929440171,6.901280536236555e-05,0.011844800664242695,0.325,0.675,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,7,129,0.005461232642050691,0.0068227687841499515,-0.0013615361420992636,0.012284001426200643,0.4375,0.5625,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,8,67,0.004270623897520481,0.10045951727669244,-0.09618889337917197,0.1047301411742129,0.05,0.95,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,9,510,0.00405775710325716,0.00287344589845346,0.0011843112048036993,0.006931203001710623,0.5125,0.4875,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,10,486,0.003911252418535509,0.00557212623097184,-0.0016608738124363285,0.009483378649507348,0.8,0.2,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,11,377,0.0037908958559956774,0.005836692580528431,-0.0020457967245327514,0.009627588436524106,0.7,0.3,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,12,122,0.003731036517358946,0.0042676353007049216,-0.0005365987833459745,0.007998671818063867,0.5,0.5,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,13,63,0.002526325710852912,0.003247317804372648,-0.0007209920935197336,0.005773643515225561,0.2875,0.7125,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,14,130,0.002383987708876237,0.0013267001159494073,0.0010572875929268292,0.003710687824825644,0.7625,0.2375,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,15,21,0.0022147546195599053,0.003017594216526813,-0.0008028395969669064,0.005232348836086715,0.2375,0.7625,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,16,124,0.0018836441116508527,0.0028331352279837786,-0.0009494911163329259,0.00471677933963463,0.3125,0.6875,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,17,551,0.0018531658589509322,0.002984835677083784,-0.0011316698181328523,0.004838001536034718,0.1375,0.8625,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,18,132,0.0018279412362043536,0.0025554146917941617,-0.0007274734555898076,0.004383355927998516,0.1375,0.8625,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,19,405,0.0016826406990057257,0.0017984475113775125,-0.00011580681237178643,0.003481088210383238,0.2875,0.7125,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,20,28,0.0016533050934187377,0.0005828242934135629,0.001070480800005175,0.0022361293868323013,0.7375,0.2625,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,21,79,0.0016309168212909903,0.0026673001076288477,-0.0010363832863378585,0.004298216928919843,0.525,0.475,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,22,125,0.0015668226465107738,0.0022738368604423203,-0.0007070142139315473,0.0038406595069530947,0.65,0.35,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,23,14,0.0014806394660633953,0.004868845143508913,-0.003388205677445518,0.006349484609572307,0.2625,0.7375,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,24,281,0.001426502360107452,0.00353063887988869,-0.0021041365197812393,0.004957141239996143,0.6125,0.3875,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,25,280,0.0012662848492590816,0.0026151927371396368,-0.0013489078878805556,0.003881477586398718,0.4125,0.5875,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,26,19,0.0012269856648484804,0.0057621236432680535,-0.0045351379784195735,0.006989109308116533,0.7625,0.2375,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,27,282,0.0011383486193307947,0.0015239328268761673,-0.0003855842075453728,0.0026622814462069627,0.5625,0.4375,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,28,102,0.000979634542083431,0.0037706040133789393,-0.00279096947129551,0.004750238555462369,0.4625,0.5375,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,29,416,0.0009679950758045449,0.004779500791613953,-0.003811505715809407,0.005747495867418497,0.55,0.45,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,30,25,0.0009518434585672776,0.00413610641719675,-0.0031842629586294724,0.005087949875764027,0.15,0.85,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,31,137,0.000922287300053188,0.003750535460272776,-0.0028282481602195865,0.004672822760325964,0.4125,0.5875,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,32,33,0.000908178222914368,0.004057408544757599,-0.00314923032184323,0.004965586767671968,0.1875,0.8125,FP,263,80,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
