artifact_key,feature_set,category,model,balance_method,rank,feature,mean_positive_shap,mean_negative_shap_abs,mean_shap,mean_abs_shap,positive_push_rate,negative_push_rate,group_name,n_group_rows_total,n_explained_rows,source_train_csv,source_label_csv,group_source,threshold
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,1,59,0.06336061584039797,0.002616120105760484,0.06074449573463749,0.06597673594615845,0.7413793103448276,0.25862068965517243,TP,58,58,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,2,103,0.04705813300482767,0.0008071506056084793,0.046250982399219195,0.04786528361043615,0.8620689655172413,0.13793103448275862,TP,58,58,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,3,477,0.02299876924808604,0.0039790797190164436,0.019019689529069593,0.02697784896710249,0.5344827586206896,0.46551724137931033,TP,58,58,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,4,64,0.022675265933970592,0.0009338649141500711,0.021741401019820535,0.02360913084812066,0.6724137931034483,0.3275862068965517,TP,58,58,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,5,348,0.022411913515660752,0.0017056957071089642,0.020706217808551787,0.024117609222769724,0.5172413793103449,0.4827586206896552,TP,58,58,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,6,65,0.019543255402327007,0.0004983850969483037,0.019044870305378703,0.02004164049927532,0.6724137931034483,0.3275862068965517,TP,58,58,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,7,129,0.017618048656462618,0.0018378238434775469,0.015780224812985067,0.01945587249994016,0.5344827586206896,0.46551724137931033,TP,58,58,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,8,510,0.015625980354116754,0.00037383152939427633,0.015252148824722478,0.01599981188351103,0.8620689655172413,0.13793103448275862,TP,58,58,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,9,486,0.012302113033952044,0.004252721556317216,0.008049391477634825,0.01655483459026925,0.8275862068965517,0.1724137931034483,TP,58,58,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,10,122,0.0113515532660672,0.00032238913910731743,0.011029164126959885,0.011673942405174519,0.896551724137931,0.10344827586206896,TP,58,58,data/processed\X_train_rferf.csv,data/processed\y_train.csv,train_oof,0.20232788980713348
