anchor_rank,feature,monitor_tier,source_type,overall_anchor_score,anchor_recommendation,recommendation,dominant_monitor_direction_all,mean_suggested_threshold,mean_tp_mean_positive_shap,mean_fp_mean_positive_shap,mean_tp_fp_shap_gap,appeared_in_topn_models,avg_rank,mean_tp_vs_tn_smd,mean_distribution_sep_score,mean_ks_stat,mean_wasserstein_distance,mean_tp_trigger_rate_all,mean_fp_trigger_rate_all,mean_tn_trigger_rate_all,has_missing_signal,dominant_missing_signal_type,n_corr_companions_095,top_corr_companion,top_corr_companion_abs_corr,has_interaction_support,best_pair_precision_lift,top_pair_rule_desc,redundancy_cluster,cluster_size,normal_mean,normal_std,normal_median,normal_p01,normal_p05,normal_p25,normal_p50,normal_p75,normal_p95,normal_p99,normal_missing_rate,validated_anchor_rank,n_models_x,max_tp_mean_positive_shap,mean_tp_positive_push_rate,mean_fp_positive_push_rate,mean_tp_vs_fp_smd,avg_tp_trigger_rate,avg_fp_trigger_rate,avg_tn_trigger_rate,fp_evidence_coverage,dominant_monitor_direction,best_rank,worst_rank,avg_mean_positive_shap,max_mean_positive_shap,appeared_categories,appeared_feature_sets,tp_fp_ratio,score_tp_shap,score_gap,score_ratio,score_fp_penalty,final_candidate_score,tp_signal_available,gap_positive,ratio_pass,tp_fp_priority_candidate,redundancy_cluster_x,cluster_size_x,threshold_defined_rate,mean_median_gap,mean_p95_gap,score_model_signal,score_distribution_sep,score_stability_anchor,score_fp_penalty_anchor,mean_split_validation_score,validation_pass_rate,direction_consistent_rate,n_models_y,n_drop,n_false_positive_risk,n_monitor_first,n_review,recommendation_consistency_score,validated_anchor_score,split_hard_gate_pass,primary_pool_rank,final_anchor_recommendation,normal_n,anomaly_n,anomaly_mean,anomaly_median,redundancy_cluster_y,cluster_size_y
1,62,review_anchor,raw_feature,0.6486170560613603,drop,monitor_first,low,-1.76827661432946,0.5590678188920222,0.27867889420763625,0.2803889246843859,1.0,6.0,-0.4830222605577069,0.39452068807983176,0.1539491298527443,0.2740552124058246,0.14285714285714285,0.04864864864864865,0.01015228426395939,0,,0,,,0,,,,,0.009373703080471007,0.980764310619626,-0.040438541875497905,-2.1868290013363034,-1.108745991541747,-0.48531649717282743,-0.040438541875497905,0.4754732444591179,1.284309334084563,1.8542480890305906,0.0,1,1,0.5590678188920222,0.5357142857142857,0.4625,-0.23438234361473495,0.14285714285714285,0.04864864864864865,0.01015228426395939,1.0,low,6.0,6.0,0.5590678188920222,0.5590678188920222,supervised,Base,2.0061362037538286,0.9540450693274399,1.0,0.09437902766872713,0.6258505621923185,0.7630788894839533,1,1,1,1,C001,1.0,1.0,-0.068640251029954,0.23190539038258295,0.7630788894839533,0.40131538493774976,0.0,0.6258505621923185,,,,1,1,0,0,0,1.0,0.6486170560613603,0,,drop,1170,83,-0.13217132557742214,-0.1090787929054519,C001,1.0
2,64,review_anchor,raw_feature,0.5984914585349497,drop,monitor_first,high,2.2257916009585648,0.5413303904626329,0.3189222794667911,0.22240811099584185,10.0,1.9,1.1191220407702498,0.6148939418032636,0.2245288847698486,0.5415266490840429,0.2241801443600544,0.12428086759922168,0.01032609090133906,0,,0,,,0,,,,,-0.030427900820421374,0.9457843309183208,-0.1296015883795223,-1.8633334386270834,-1.3643735878907568,-0.6264657601127659,-0.1296015883795223,0.4172710303806315,1.6216920965416324,3.201476231378419,0.0,2,10,1.4382983169994314,0.7213165411476551,0.46657534246575344,0.42484674242261233,0.2241801443600544,0.12428086759922168,0.01032609090133906,1.0,high,1.0,4.0,0.5413303904626329,1.4382983169994314,supervised,"ANOVA,Base,RFERF,RFEXGB",1.697374016539979,0.9237762798107327,0.8679928400788015,0.08508592520287656,0.5718204928790245,0.7041075982764113,1,1,1,1,C002,1.0,1.0,0.20893905460994802,1.423336453494946,0.7041075982764113,0.6254840529446039,1.0,0.5718204928790245,,,,10,2,0,5,3,0.5,0.5984914585349497,0,,drop,1170,83,0.4007753787817966,0.0793374662304257,C002,1.0
3,558,review_anchor,raw_feature,0.551878253510061,drop,monitor_first,high,4.1625099291033765,0.4106489566723353,0.17240742242559587,0.23824153424673944,,,0.5095345239353838,0.2530450875343404,0.09899083513541344,0.18054322310979698,0.07142857142857142,0.016216216216216217,0.012182741116751269,0,,0,,,0,,,,,-0.011130029583681166,0.9647921920851857,-0.2681645575859497,-0.9352119688596732,-0.7693450812620926,-0.4769897757843419,-0.2681645575859497,0.067149078492611,1.915252259548381,4.1625099291033765,0.0,3,1,0.4106489566723353,0.5,0.25,0.44948626204888614,0.07142857142857142,0.016216216216216217,0.012182741116751269,1.0,high,,,,,,,2.3818519579663393,0.7007693862868658,0.9040414068755491,0.1044773886183499,0.7685287924016724,0.6492685335412482,1,1,1,1,C003,1.0,1.0,0.05369791325101461,0.9419210627708698,0.6492685335412482,0.25740319780112886,0.0,0.7685287924016724,,,,1,1,0,0,0,1.0,0.551878253510061,0,,drop,1170,83,0.16134686366547743,-0.2144666443349351,C003,1.0
4,168,review_anchor,raw_feature,0.502024379560452,drop,monitor_first,low,-1.6421916822436604,0.42636516533942903,0.2649881562870624,0.16137700905236663,,,0.16339295738121218,0.18232175753568208,0.06957059005251777,0.14000896408237046,0.0,0.0,0.01116751269035533,0,,0,,,0,,,,,-0.0023082639543424324,0.9917813105743113,-0.0969137913127073,-1.621023491956935,-1.3035006376560545,-0.7107913096277435,-0.0969137913127073,0.5593001075757796,1.6505203168564713,2.6403448946637518,0.0,4,1,0.42636516533942903,0.35714285714285715,0.4125,0.20946071620869391,0.0,0.0,0.01116751269035533,1.0,low,,,,,,,1.6089970635425173,0.7275889793320843,0.7290409709709152,0.08222941609143287,0.6442315088754873,0.5906169171299435,1,1,1,1,C004,1.0,1.0,-0.08467276114690131,0.11113299900530982,0.5906169171299435,0.18546182372355993,0.0,0.6442315088754873,,,,1,1,0,0,0,1.0,0.502024379560452,0,,drop,1170,83,0.02988734053245513,-0.1815865524596086,C004,1.0
5,104,review_anchor,raw_feature,0.501939019135333,drop,monitor_first,high,2.123733255626273,0.3654669025770228,0.16751813923897144,0.19794876333805136,,,-0.41314927786582406,0.3124834383905626,0.09833178869323447,0.29561516021627765,0.0,0.0,0.01015228426395939,0,,0,,,0,,,,,0.011306603251262917,0.9087979780168984,0.0167322120439882,-2.0534653198600106,-1.2483885018973444,-0.4433116839346782,0.0167322120439882,0.4767761080226547,1.281852925985321,2.007572171891661,0.0,5,1,0.3654669025770228,0.39285714285714285,0.4,-0.1902343871763071,0.0,0.0,0.01015228426395939,1.0,high,,,,,,,2.1816556955403463,0.6236665474628627,0.8123052977277342,0.09924489448705069,0.775093058995163,0.5905164931003918,1,1,1,1,C005,1.0,1.0,0.2300219479893332,-0.11501097399466675,0.5905164931003918,0.3178652353435126,0.0,0.775093058995163,,,,1,1,0,0,0,1.0,0.501939019135333,0,,drop,1170,83,-0.16479113245361804,0.2467541600333214,C005,1.0
6,249,review_anchor,raw_feature,0.4819625954537753,drop,monitor_first,flat,,0.11608402759776622,0.0,0.11608402759776622,,,0.5216490952008942,0.24521785032928278,0.02409638554216868,0.48947523835436196,,,,0,,0,,,0,,,,,-0.03242333981118274,0.5024731258507148,-0.0713974120796145,-0.0713974120796145,-0.0713974120796145,-0.0713974120796145,-0.0713974120796145,-0.0713974120796145,-0.0713974120796145,0.7935511929118124,0.0,6,3,0.33927696051763767,0.024725274725274724,0.0,0.277455218140355,,,,1.0,flat,,,,,,,116084.02759776622,0.1980965285692993,0.6259206891773079,1.0,1.0,0.5670148181809122,1,1,1,1,C006,1.0,0.0,0.0,0.0,0.5670148181809122,0.24944115472745576,0.0,1.0,,,,3,3,0,0,0,1.0,0.4819625954537753,0,,drop,1170,83,0.45705189854317974,-0.0713974120796145,C006,1.0
7,61,review_anchor,raw_feature,0.42194186888201146,drop,monitor_first,high,1.9928813219346013,0.2760715645346984,0.13262921413182127,0.14344235040287712,,,0.5415038025023344,0.3951541410343551,0.1455668829162805,0.3020077291736062,0.10714285714285714,0.04864864864864865,0.01015228426395939,0,,0,,,0,,,,,-0.007036483413889144,0.9726552561756631,0.0492819912844288,-2.8485638472616026,-1.837399904902069,-0.48615310682950114,0.0492819912844288,0.5741450942696401,1.425044881508938,2.1311083354848015,0.0,7,1,0.2760715645346984,0.6071428571428571,0.525,0.40164653687191315,0.10714285714285714,0.04864864864864865,0.01015228426395939,1.0,high,,,,,,,2.081529068401993,0.47111406885809504,0.6882084403135705,0.09650303363227347,0.8219343232095552,0.49640219868471935,1,1,1,1,C007,1.0,1.0,0.0630674192161382,0.5336852506443446,0.49640219868471935,0.40195974763903614,0.0,0.8219343232095552,,,,1,1,0,0,0,1.0,0.42194186888201146,0,,drop,1170,83,0.11058375115626448,0.112349410500567,C007,1.0
8,108,review_anchor,raw_feature,0.4118591799767536,drop,monitor_first,low,-2.247421980408178,0.2898638319098771,0.16764042180748512,0.12222341010239196,,,-0.38398457673025904,0.23532358802945702,0.1063845124086088,0.12326769427729176,0.0,0.005405405405405406,0.01015228426395939,0,,0,,,0,,,,,0.005419432117182288,0.995402212910292,0.037779694567351155,-2.2366028640943383,-1.5290767694460499,-0.6186806354193709,0.037779694567351155,0.5630640434957185,1.5489153878656983,2.969353918331389,0.0,8,1,0.2898638319098771,0.7142857142857143,0.425,-0.4039692079151411,0.0,0.005405405405405406,0.01015228426395939,1.0,low,,,,,,,1.7290807836474598,0.49465047041705573,0.6398984586591058,0.08608798759157794,0.7749288845448762,0.4845402117373572,1,1,1,1,C008,1.0,1.0,-0.16832316153505683,-0.1232241627375612,0.4845402117373572,0.23937648688239166,0.0,0.7749288845448762,,,,1,1,0,0,0,1.0,0.4118591799767536,0,,drop,1170,83,-0.0794660938122402,-0.1305434669677057,C008,1.0
43,485,review_anchor,raw_feature,0.37704509296520794,drop,review,low,-0.9144555869241014,0.27419440308238274,0.1892960445068937,0.08489835857548905,,,-0.3126251087192735,0.13770400649813308,0.06375244568015652,0.07377449174011692,0.17857142857142858,0.11891891891891893,0.11370558375634518,0,,0,,,0,,,,,0.0022788362251806513,0.9932292546951162,-0.391336119605905,-0.9144555869241014,-0.9144555869241014,-0.6849336569056652,-0.391336119605905,0.39184049445086827,2.2705278674275986,3.1397109854822873,0.0,9,1,0.27419440308238274,0.8214285714285714,0.725,-0.35671633991041546,0.17857142857142858,0.11891891891891893,0.11370558375634518,1.0,low,,,,,,,1.4484951536977164,0.4679107068197246,0.5549190709525761,0.0767850804678197,0.7458544220478273,0.4435824623120094,1,1,0,0,C043,1.0,1.0,-0.06518253894255405,-0.12493352700088023,0.4435824623120094,0.1400756361960065,0.0,0.7458544220478273,,,,1,1,0,0,0,1.0,0.37704509296520794,0,,drop,1170,83,-0.047809488974945434,-0.456518658548459,C043,1.0
44,56,review_anchor,raw_feature,0.3707644323443493,drop,review,high,1.1969556248852071,0.3248821228606672,0.28038929021396275,0.04449283264670452,5.0,3.0,0.32651891106644065,0.30520084445386086,0.1466275357841623,0.2553324422751152,0.029865776414744576,0.014892972143975886,0.011956246327745636,0,,0,,,0,,,,,-0.015453384663354951,1.014913478030533,0.2906688044599451,-2.9656240638406315,-1.5680116380655962,-0.5306086003769171,0.2906688044599451,0.6220614414993966,1.04782893821746,1.183988086914101,0.0,10,10,0.8880664638741064,0.8068212212036624,0.658972602739726,0.13860464361006442,0.029865776414744576,0.014892972143975886,0.011956246327745636,1.0,high,3.0,3.0,0.6391995452779533,0.8880664638741064,supervised,"Base,RFERF,RFEXGB",1.158682354139676,0.554408923128725,0.46292624809167415,0.06598292356249862,0.623554214253896,0.4361934498168816,1,1,0,0,C044,1.0,1.0,0.1440837552345393,-0.02665549471840234,0.4361934498168816,0.31045721574566226,0.4444444444444444,0.623554214253896,,,,10,7,0,0,3,0.7,0.3707644323443493,0,,drop,1170,83,0.2281230927111355,0.4347525596944844,C044,1.0
