rank,feature_set,category,model,balance_method,cv_ap,val_best_f1,best_params,roc_auc,average_precision,balanced_accuracy,recall,specificity,mcc,f1_score,false_positive,false_negative,true_negative,true_positive,type1_cost,type2_cost,overall_cost,predicted_positive,threshold,artifact_key
1,RFERF,supervised,RF,ROSE,0.3189182679178082,0.3125,"{""sampler__sampling_strategy"": 0.8, ""clf__n_estimators"": 800, ""clf__min_samples_split"": 10, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": null}",0.7575166585405493,0.1591726594292435,0.7207053469852105,0.6666666666666666,0.7747440273037542,0.2530657583227175,0.2772277227722772,66,7,227,14,66.0,70.0,136.0,80,0.2023278898071334,RFERF_RF_ROSE
2,RFERF,supervised,RF,NoResample,0.2820310374380892,0.3157894736842105,"{""clf__n_estimators"": 200, ""clf__min_samples_split"": 5, ""clf__min_samples_leaf"": 4, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": null}",0.7555663903786771,0.1611532294231979,0.6935641150658216,0.5714285714285714,0.8156996587030717,0.2373561513453453,0.2758620689655172,54,9,239,12,54.0,90.0,144.0,66,0.1051661778790067,RFERF_RF_NoResample
3,RFERF,supervised,LR,class_weight,0.2398769796066796,0.2978723404255319,"{""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__class_weight"": {""0"": 1, ""1"": 5}, ""clf__C"": 1.0}",0.6157971721111652,0.1541586735388198,0.6528522671867382,0.4285714285714285,0.8771331058020477,0.2179530451189475,0.2727272727272727,36,12,257,9,36.0,120.0,156.0,45,0.3472293893676648,RFERF_LR_class_weight
4,ANOVA,supervised,SVM,class_weight,0.2772657850341494,0.21875,"{""clf__kernel"": ""rbf"", ""clf__gamma"": 0.1, ""clf__class_weight"": {""0"": 1, ""1"": 1}, ""clf__C"": 2.0}",0.7513408093612871,0.192148722411219,0.6832439460425809,0.6190476190476191,0.7474402730375427,0.2045646248465792,0.2407407407407407,74,8,219,13,74.0,80.0,154.0,87,0.0768513931879578,ANOVA_SVM_class_weight
5,RFERF,supervised,RF,SMOTE,0.3568718024774521,0.2926829268292683,"{""sampler__sampling_strategy"": 0.5, ""clf__n_estimators"": 800, ""clf__min_samples_split"": 10, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 20}",0.7303754266211604,0.1505540221577235,0.6916951080773606,0.6666666666666666,0.7167235494880546,0.2072854168659115,0.2372881355932203,83,7,210,14,83.0,70.0,153.0,97,0.1755144641265648,RFERF_RF_SMOTE
6,ANOVA,supervised,SVM,NoResample,0.2854562568693491,0.2153846153846154,"{""clf__kernel"": ""rbf"", ""clf__gamma"": 0.1, ""clf__C"": 1.0}",0.7521534210954006,0.193390281746488,0.6798309767593045,0.6190476190476191,0.7406143344709898,0.1993662747744394,0.2363636363636363,76,8,217,13,76.0,80.0,156.0,89,0.0756920866286176,ANOVA_SVM_NoResample
7,Base,supervised,LR,SMOTE,0.162464282244415,0.16,"{""sampler__sampling_strategy"": 0.1, ""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.7141231919388915,0.1796031159805091,0.6222168048106614,0.3809523809523809,0.863481228668942,0.169684800318571,0.2318840579710145,40,13,253,8,40.0,130.0,170.0,48,0.120603011424815,Base_LR_SMOTE
8,RFEXGB,supervised,LR,SMOTE,0.2254742880096922,0.2962962962962963,"{""sampler__sampling_strategy"": 0.2, ""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.6978709572566227,0.1827847272386191,0.5764667641800747,0.1904761904761904,0.962457337883959,0.1791286043541334,0.2222222222222222,11,17,282,4,11.0,170.0,181.0,15,0.5483517567913296,RFEXGB_LR_SMOTE
9,RFEXGB,supervised,LR,NoResample,0.2236500667769784,0.303030303030303,"{""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.7074597757191614,0.181085122075852,0.5866244108564928,0.238095238095238,0.9351535836177476,0.1628955151096009,0.2222222222222222,19,16,274,5,19.0,160.0,179.0,24,0.1905491962006118,RFEXGB_LR_NoResample
10,RFERF,supervised,LR,SMOTE,0.2410816635957504,0.3265306122448979,"{""sampler__sampling_strategy"": 0.3, ""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.6050706972208678,0.1619365924976971,0.6069397042093287,0.3333333333333333,0.8805460750853242,0.156965184378738,0.2222222222222222,35,14,258,7,35.0,140.0,175.0,42,0.2526011564304778,RFERF_LR_SMOTE
