subgroup_id,n,event_n,event_rate,pbar,UCL,LCL,beyond_UCL,below_LCL,beyond_any_limit
0,25,0,0.0,0.0039904229848363925,0.04181660205867166,0.0,0,0,0
1,25,0,0.0,0.0039904229848363925,0.04181660205867166,0.0,0,0,0
2,25,0,0.0,0.0039904229848363925,0.04181660205867166,0.0,0,0,0
3,25,0,0.0,0.0039904229848363925,0.04181660205867166,0.0,0,0,0
4,25,0,0.0,0.0039904229848363925,0.04181660205867166,0.0,0,0,0
5,25,0,0.0,0.0039904229848363925,0.04181660205867166,0.0,0,0,0
6,25,0,0.0,0.0039904229848363925,0.04181660205867166,0.0,0,0,0
7,25,1,0.04,0.0039904229848363925,0.04181660205867166,0.0,0,0,0
8,25,0,0.0,0.0039904229848363925,0.04181660205867166,0.0,0,0,0
9,25,0,0.0,0.0039904229848363925,0.04181660205867166,0.0,0,0,0
10,25,0,0.0,0.0039904229848363925,0.04181660205867166,0.0,0,0,0
11,25,0,0.0,0.0039904229848363925,0.04181660205867166,0.0,0,0,0
12,14,0,0.0,0.0039904229848363925,0.05453778096521126,0.0,0,0,0
