event_order,gap,CL,UCL,LCL,beyond_UCL,below_LCL,beyond_any_limit
1,18.0,32.12820512820513,127.00096326607309,0.0,0,0,0
2,20.0,32.12820512820513,127.00096326607309,0.0,0,0,0
3,15.0,32.12820512820513,127.00096326607309,0.0,0,0,0
4,23.0,32.12820512820513,127.00096326607309,0.0,0,0,0
5,1.0,32.12820512820513,127.00096326607309,0.0,0,0,0
6,68.0,32.12820512820513,127.00096326607309,0.0,0,0,0
7,63.0,32.12820512820513,127.00096326607309,0.0,0,0,0
8,54.0,32.12820512820513,127.00096326607309,0.0,0,0,0
9,6.0,32.12820512820513,127.00096326607309,0.0,0,0,0
10,4.0,32.12820512820513,127.00096326607309,0.0,0,0,0
11,7.0,32.12820512820513,127.00096326607309,0.0,0,0,0
