feature_a,feature_b,resolved_train_feature_a,resolved_train_feature_b,resolved_monitor_feature_a,resolved_monitor_feature_b,n_monitor_rows,pair_z_distance_CL,pair_z_distance_UCL,n_pair_z_distance_alarm,T2_CL,T2_UCL,n_T2_alarm,list_category,list_subtype,export_rank,n_models,pair_key,mean_support_n,max_support_n,mean_pair_precision,max_pair_precision,mean_pair_recall,mean_pair_fp_rate,mean_pair_precision_lift,max_pair_precision_lift,dominant_recommendation,representative_rule_desc,is_interaction_candidate
298.0,434.0,298,434,298,434,314,0.5212274353737452,4.464932042306522,9,1.996763331619825,56.308720314381254,9,auxiliary_diagnostic,interaction,1,2,298 || 434,14.0,14.0,0.2142857142857142,0.2142857142857142,0.1428571428571428,0.0375426621160409,3.204081632653061,3.204081632653061,interaction_candidate,298(high) AND 434(high),1.0
200.0,488.0,200,488,200,488,314,1.0181627649810092,3.9613107670661156,0,1.9982905853020734,51.526125192899954,0,auxiliary_diagnostic,interaction,2,1,200 || 488,1.0,1.0,1.0,1.0,0.0476190476190476,0.0,14.952380952380953,14.952380952380953,review,200(high) AND 488(low),0.0
26.0,298.0,26,298,26,298,314,0.6544460085553737,4.415031915899799,9,1.9976795387580797,37.315165842512364,9,auxiliary_diagnostic,interaction,3,2,26 || 298,1.0,1.0,1.0,1.0,0.0476190476190476,0.0,14.952380952380953,14.952380952380953,review,26(high) AND 298(high),0.0
26.0,434.0,26,434,26,434,314,0.5363748407387999,4.461741488272813,9,1.9982138892505543,49.306240149971146,4,auxiliary_diagnostic,interaction,4,2,26 || 434,1.0,1.0,1.0,1.0,0.0476190476190476,0.0,14.952380952380953,14.952380952380953,review,26(high) AND 434(high),0.0
38.0,59.0,38,59,38,59,314,1.0177714404648077,3.962138383404782,5,1.9982845570614747,31.746685872402217,0,auxiliary_diagnostic,interaction,5,1,38 || 59,1.0,1.0,1.0,1.0,0.0476190476190476,0.0,14.952380952380953,14.952380952380953,review,38(high) AND 59(high),0.0
460.0,81.0,460,81,460,81,314,1.1492227679044709,3.6197318746298377,3,1.994664148233802,14.275055100786986,2,auxiliary_diagnostic,interaction,6,1,460 || 81,1.0,1.0,1.0,1.0,0.0476190476190476,0.0,14.952380952380953,14.952380952380953,review,460(high) AND 81(high),0.0
488.0,561.0,488,561,488,561,314,1.273692070266735,3.1140416976128202,7,1.9982905953242436,7.620622538458063,11,auxiliary_diagnostic,interaction,7,1,488 || 561,1.0,1.0,1.0,1.0,0.0476190476190476,0.0,14.952380952380953,14.952380952380953,review,488(low) AND 561(high),0.0
21.0,38.0,21,38,21,38,314,1.0936918203778543,3.78169009097039,9,1.9982849090583887,17.678121621386587,5,auxiliary_diagnostic,interaction,8,1,21 || 38,2.0,2.0,0.5,0.5,0.0476190476190476,0.0034129692832764,7.476190476190476,7.476190476190476,review,21(high) AND 38(high),0.0
298.0,38.0,298,38,298,38,314,0.9109395868385716,4.155213465660537,9,1.997951879711189,24.970553431446106,9,auxiliary_diagnostic,interaction,9,1,298 || 38,2.0,2.0,0.5,0.5,0.0476190476190476,0.0034129692832764,7.476190476190476,7.476190476190476,review,298(high) AND 38(high),0.0
348.0,79.0,348,79,348,79,314,1.0629869359724082,3.8597403528276706,7,1.9854974955271296,20.35379105801356,1,auxiliary_diagnostic,interaction,10,2,348 || 79,2.0,2.0,0.5,0.5,0.0476190476190476,0.0034129692832764,7.476190476190476,7.476190476190476,review,348(high) AND 79(high),0.0
