subgroup_id,n,event_n,event_rate,pbar,UCL,LCL,beyond_UCL,below_LCL,beyond_any_limit
0,25,2,0.08,0.1739824421388667,0.40143907252772687,0.0,0,0,0
1,25,4,0.16,0.1739824421388667,0.40143907252772687,0.0,0,0,0
2,25,2,0.08,0.1739824421388667,0.40143907252772687,0.0,0,0,0
3,25,3,0.12,0.1739824421388667,0.40143907252772687,0.0,0,0,0
4,25,5,0.2,0.1739824421388667,0.40143907252772687,0.0,0,0,0
5,25,3,0.12,0.1739824421388667,0.40143907252772687,0.0,0,0,0
6,25,6,0.24,0.1739824421388667,0.40143907252772687,0.0,0,0,0
7,25,2,0.08,0.1739824421388667,0.40143907252772687,0.0,0,0,0
8,25,4,0.16,0.1739824421388667,0.40143907252772687,0.0,0,0,0
9,25,4,0.16,0.1739824421388667,0.40143907252772687,0.0,0,0,0
10,25,3,0.12,0.1739824421388667,0.40143907252772687,0.0,0,0,0
11,25,1,0.04,0.1739824421388667,0.40143907252772687,0.0,0,0,0
12,14,3,0.21428571428571427,0.1739824421388667,0.477934149733577,0.0,0,0,0
