time_index,PCA_SPE,PCA_SPE_CL,PCA_SPE_UCL,PCA_SPE_beyond_UCL
0,6.162975822039155e-32,7.608351548124506e-32,1.2865169065369289e-30,0
1,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
2,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
3,1.3096323621833204e-32,7.608351548124506e-32,1.2865169065369289e-30,0
4,6.162975822039155e-32,7.608351548124506e-32,1.2865169065369289e-30,0
5,9.860761315262648e-32,7.608351548124506e-32,1.2865169065369289e-30,0
6,1.3096323621833204e-32,7.608351548124506e-32,1.2865169065369289e-30,0
7,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
8,1.232595164407831e-32,7.608351548124506e-32,1.2865169065369289e-30,0
9,3.851859888774472e-34,7.608351548124506e-32,1.2865169065369289e-30,0
10,4.949639957075196e-32,7.608351548124506e-32,1.2865169065369289e-30,0
11,1.3096323621833204e-32,7.608351548124506e-32,1.2865169065369289e-30,0
12,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
13,2.0954117794933126e-31,7.608351548124506e-32,1.2865169065369289e-30,0
14,1.2518544638517033e-32,7.608351548124506e-32,1.2865169065369289e-30,0
15,1.9740781929969167e-31,7.608351548124506e-32,1.2865169065369289e-30,0
16,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
17,2.0954117794933126e-31,7.608351548124506e-32,1.2865169065369289e-30,0
18,5.623715437610729e-32,7.608351548124506e-32,1.2865169065369289e-30,0
19,1.3529657859320332e-32,7.608351548124506e-32,1.2865169065369289e-30,0
20,6.162975822039155e-33,7.608351548124506e-32,1.2865169065369289e-30,0
21,5.411863143728133e-32,7.608351548124506e-32,1.2865169065369289e-30,0
22,2.04148574105047e-31,7.608351548124506e-32,1.2865169065369289e-30,0
23,1.5804662606127754e-32,7.608351548124506e-32,1.2865169065369289e-30,0
24,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
25,6.162975822039155e-32,7.608351548124506e-32,1.2865169065369289e-30,0
26,7.703719777548943e-34,7.608351548124506e-32,1.2865169065369289e-30,0
27,4.8148248609680896e-33,7.608351548124506e-32,1.2865169065369289e-30,0
28,5.007417855406813e-32,7.608351548124506e-32,1.2865169065369289e-30,0
29,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
30,1.2518544638517033e-32,7.608351548124506e-32,1.2865169065369289e-30,0
31,1.3096323621833204e-32,7.608351548124506e-32,1.2865169065369289e-30,0
32,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
33,6.162975822039155e-32,7.608351548124506e-32,1.2865169065369289e-30,0
34,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
35,5.238529448733282e-32,7.608351548124506e-32,1.2865169065369289e-30,0
36,1.3096323621833204e-32,7.608351548124506e-32,1.2865169065369289e-30,0
37,3.851859888774472e-33,7.608351548124506e-32,1.2865169065369289e-30,0
38,2.465190328815662e-31,7.608351548124506e-32,1.2865169065369289e-30,0
39,9.860761315262648e-32,7.608351548124506e-32,1.2865169065369289e-30,0
40,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
41,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
42,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
43,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
44,3.274080905458301e-33,7.608351548124506e-32,1.2865169065369289e-30,0
45,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
46,1.232595164407831e-32,7.608351548124506e-32,1.2865169065369289e-30,0
47,1.232595164407831e-32,7.608351548124506e-32,1.2865169065369289e-30,0
48,2.465190328815662e-31,7.608351548124506e-32,1.2865169065369289e-30,0
49,1.232595164407831e-32,7.608351548124506e-32,1.2865169065369289e-30,0
50,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
51,3.851859888774472e-33,7.608351548124506e-32,1.2865169065369289e-30,0
52,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
53,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
54,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
55,3.274080905458301e-31,7.608351548124506e-32,1.2865169065369289e-30,0
56,1.2759285881565438e-32,7.608351548124506e-32,1.2865169065369289e-30,0
57,1.9798559828300785e-31,7.608351548124506e-32,1.2865169065369289e-30,0
58,1.232595164407831e-32,7.608351548124506e-32,1.2865169065369289e-30,0
59,7.896312771987667e-31,7.608351548124506e-32,1.2865169065369289e-30,0
60,4.930380657631324e-32,7.608351548124506e-32,1.2865169065369289e-30,0
61,3.0814879110195774e-33,7.608351548124506e-32,1.2865169065369289e-30,0
62,1.9798559828300785e-31,7.608351548124506e-32,1.2865169065369289e-30,0
63,2.0954117794933126e-31,7.608351548124506e-32,1.2865169065369289e-30,0
64,6.162975822039155e-32,7.608351548124506e-32,1.2865169065369289e-30,0
65,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
66,2.2494861750442915e-31,7.608351548124506e-32,1.2865169065369289e-30,0
67,1.3096323621833204e-32,7.608351548124506e-32,1.2865169065369289e-30,0
68,1.9721522630525295e-31,7.608351548124506e-32,1.2865169065369289e-30,0
69,3.851859888774472e-33,7.608351548124506e-32,1.2865169065369289e-30,0
70,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
71,4.930380657631324e-32,7.608351548124506e-32,1.2865169065369289e-30,0
72,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
73,6.162975822039155e-32,7.608351548124506e-32,1.2865169065369289e-30,0
74,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
75,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
76,6.162975822039155e-33,7.608351548124506e-32,1.2865169065369289e-30,0
77,2.3496345321524277e-31,7.608351548124506e-32,1.2865169065369289e-30,0
78,5.007417855406813e-32,7.608351548124506e-32,1.2865169065369289e-30,0
79,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
80,5.623715437610729e-32,7.608351548124506e-32,1.2865169065369289e-30,0
81,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
82,6.162975822039155e-32,7.608351548124506e-32,1.2865169065369289e-30,0
83,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
84,3.851859888774472e-33,7.608351548124506e-32,1.2865169065369289e-30,0
85,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
86,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
87,6.162975822039155e-32,7.608351548124506e-32,1.2865169065369289e-30,0
88,5.238529448733282e-32,7.608351548124506e-32,1.2865169065369289e-30,0
89,8.185202263645752e-34,7.608351548124506e-32,1.2865169065369289e-30,0
90,5.007417855406813e-32,7.608351548124506e-32,1.2865169065369289e-30,0
91,1.2518544638517033e-32,7.608351548124506e-32,1.2865169065369289e-30,0
92,6.162975822039155e-32,7.608351548124506e-32,1.2865169065369289e-30,0
93,3.851859888774472e-33,7.608351548124506e-32,1.2865169065369289e-30,0
94,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
95,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
96,6.162975822039155e-33,7.608351548124506e-32,1.2865169065369289e-30,0
97,1.9259299443872359e-32,7.608351548124506e-32,1.2865169065369289e-30,0
98,1.232595164407831e-32,7.608351548124506e-32,1.2865169065369289e-30,0
99,1.4059288594026822e-32,7.608351548124506e-32,1.2865169065369289e-30,0
100,1.4059288594026822e-32,7.608351548124506e-32,1.2865169065369289e-30,0
101,6.162975822039155e-32,7.608351548124506e-32,1.2865169065369289e-30,0
102,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
103,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
104,2.0954117794933126e-31,7.608351548124506e-32,1.2865169065369289e-30,0
105,3.851859888774472e-33,7.608351548124506e-32,1.2865169065369289e-30,0
106,1.232595164407831e-32,7.608351548124506e-32,1.2865169065369289e-30,0
107,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
108,3.0814879110195774e-33,7.608351548124506e-32,1.2865169065369289e-30,0
109,9.860761315262648e-32,7.608351548124506e-32,1.2865169065369289e-30,0
110,3.0814879110195774e-33,7.608351548124506e-32,1.2865169065369289e-30,0
111,3.851859888774472e-33,7.608351548124506e-32,1.2865169065369289e-30,0
112,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
113,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
114,1.9798559828300785e-31,7.608351548124506e-32,1.2865169065369289e-30,0
115,2.407412430484045e-34,7.608351548124506e-32,1.2865169065369289e-30,0
116,6.162975822039155e-33,7.608351548124506e-32,1.2865169065369289e-30,0
117,3.129636159629258e-33,7.608351548124506e-32,1.2865169065369289e-30,0
118,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
119,5.238529448733282e-32,7.608351548124506e-32,1.2865169065369289e-30,0
120,9.860761315262648e-32,7.608351548124506e-32,1.2865169065369289e-30,0
121,9.860761315262648e-32,7.608351548124506e-32,1.2865169065369289e-30,0
122,5.007417855406813e-32,7.608351548124506e-32,1.2865169065369289e-30,0
123,2.465190328815662e-32,7.608351548124506e-32,1.2865169065369289e-30,0
124,6.162975822039155e-32,7.608351548124506e-32,1.2865169065369289e-30,0
125,0.0,7.608351548124506e-32,1.2865169065369289e-30,0
126,1.5407439555097887e-32,7.608351548124506e-32,1.2865169065369289e-30,0
127,1.9798559828300785e-31,7.608351548124506e-32,1.2865169065369289e-30,0
