feature,resolved_train_feature,resolved_monitor_feature,n_baseline,n_monitor,center_mean,sigma_train,normal_p01,normal_p99,n_beyond_3sigma,n_ewma_alarm,n_cusum_alarm,list_category,list_subtype,export_rank,appeared_in_topn_models,avg_rank,best_rank,avg_mean_positive_shap,max_mean_positive_shap,feature_set,model
59,59,59,1163,314,2.721722269991402,9.667673452186833,-11.659874,28.312142,0,0,0,main_signal,fp_like,1,10.0,1.7,1.0,0.4835140269933142,1.32643590258279,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
64,64,64,1163,314,20.365193379191744,4.674310426477905,11.317842,36.332189999999926,7,1,0,main_signal,fp_like,2,10.0,3.9,1.0,0.2400754677969185,0.6041372151806592,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
129,129,129,1162,313,-0.6013432013769363,1.2391987978996803,-3.732,1.655,0,0,0,main_signal,fp_like,3,10.0,10.4,4.0,0.174112970613879,0.4229738342703385,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
56,56,56,1168,313,0.9286746575342466,0.00704973942300826,0.9082,0.937,1,2,3,main_signal,fp_like,4,10.0,17.8,3.0,0.252473896113995,0.62592645339059,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
103,103,103,1168,314,-0.009931934931506847,0.0029654767108482525,-0.015332,-0.0026020000000000435,2,2,4,main_signal,fp_like,5,10.0,21.2,2.0,0.0750763915345032,0.2061768848204423,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
582,582,582,1169,314,0.5000793840889649,0.0032969232695023924,0.492668,0.507932,1,1,3,main_signal,fp_like,6,10.0,21.8,6.0,0.0924380373969788,0.2775036900903478,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
14,14,14,1167,314,9.009556041131106,2.757414778793942,3.040294,15.95407,2,0,0,main_signal,fp_like,7,10.0,24.1,8.0,0.0767908622912379,0.2005337440545764,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
122,122,122,1162,313,3.9250559380378656,0.9136192932842311,2.322,6.360460000000002,0,0,0,main_signal,fp_like,8,10.0,25.9,5.0,0.1182154116797548,0.3994183798301432,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
130,130,130,1162,313,0.7431249569707401,0.0829976946031013,0.5393929999999999,0.8764,2,0,0,main_signal,fp_like,9,10.0,26.7,11.0,0.1043223024115975,0.2776071129078672,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
63,63,63,1163,314,13.889240584694754,7.450934454996528,4.854214,32.12779999999988,0,0,0,main_signal,fp_like,10,10.0,27.7,7.0,0.0993483431204049,0.3339089454957819,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
