feature,resolved_train_feature,resolved_monitor_feature,baseline_missing_rate,monitor_missing_rate,n_monitor_rows,n_pchart_alarm,n_gchart_alarm,list_category,list_subtype,export_rank,appeared_in_topn_models,avg_rank,best_rank,avg_mean_positive_shap,max_mean_positive_shap,feature_set,model
59,59,59,0.00558659217877095,0.0,314,0,0,main_signal,fp_like,1,10.0,1.7,1.0,0.4835140269933142,1.32643590258279,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
64,64,64,0.00558659217877095,0.0,314,0,0,main_signal,fp_like,2,10.0,3.9,1.0,0.2400754677969185,0.6041372151806592,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
129,129,129,0.006384676775738229,0.0031847133757961785,314,0,0,main_signal,fp_like,3,10.0,10.4,4.0,0.174112970613879,0.4229738342703385,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
56,56,56,0.0023942537909018356,0.0031847133757961785,314,1,0,main_signal,fp_like,4,10.0,17.8,3.0,0.252473896113995,0.62592645339059,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
103,103,103,0.0015961691939345571,0.0,314,0,0,main_signal,fp_like,5,10.0,21.2,2.0,0.0750763915345032,0.2061768848204423,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
582,582,582,0.0007980845969672786,0.0,314,0,0,main_signal,fp_like,6,10.0,21.8,6.0,0.0924380373969788,0.2775036900903478,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
14,14,14,0.0023942537909018356,0.0,314,0,0,main_signal,fp_like,7,10.0,24.1,8.0,0.0767908622912379,0.2005337440545764,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
122,122,122,0.006384676775738229,0.0031847133757961785,314,0,0,main_signal,fp_like,8,10.0,25.9,5.0,0.1182154116797548,0.3994183798301432,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
130,130,130,0.006384676775738229,0.0031847133757961785,314,0,0,main_signal,fp_like,9,10.0,26.7,11.0,0.1043223024115975,0.2776071129078672,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
63,63,63,0.00558659217877095,0.0,314,0,0,main_signal,fp_like,10,10.0,27.7,7.0,0.0993483431204049,0.3339089454957819,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
