feature,resolved_train_feature,resolved_monitor_feature,n_baseline,n_monitor,center_mean,sigma_train,normal_p01,normal_p99,n_beyond_3sigma,n_ewma_alarm,n_cusum_alarm,list_category,list_subtype,export_rank,n_models,direction_consistent_rate,mean_split_validation_score,validation_pass_rate,mean_smd_retention_score,mean_distribution_retention_score,mean_tp_trigger_retention_score,mean_fp_robustness_score,dominant_train_direction,dominant_test_direction
173,173,173,1169,314,0.5763661248930709,0.0965671501342786,0.3145,0.8189,0,0,0,main_signal,split_stable,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,low,low
183,183,183,1169,314,26.61225757057314,6.863992419859845,14.067839999999999,39.75463999999998,2,3,5,main_signal,split_stable,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,high,high
525,525,525,1152,308,5.4500671006944446,2.9180090548982864,2.099554,11.441893000000002,5,24,83,main_signal,split_stable,3,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,low,low
58,58,58,1168,313,4.591348630136986,0.08542391944617173,4.451405,4.7797,3,0,3,main_signal,split_stable,4,2.0,1.0,0.9998127664477474,1.0,1.0,1.0,1.0,0.9981276644774744,high,high
88,88,88,1170,314,1806.4144519658123,53.18126636416165,1659.939784,1924.660394,2,1,1,main_signal,split_stable,5,2.0,1.0,0.99875,1.0,1.0,1.0,1.0,0.9875,high,high
310,310,310,1169,314,0.30517510692899913,0.044266402671658475,0.2093,0.4163,0,1,0,main_signal,split_stable,6,1.0,1.0,0.9975903614457832,1.0,1.0,1.0,1.0,0.9759036144578314,high,high
295,295,295,1170,313,241.92536299145297,259.01134306085703,26.269375,1764.8689909999998,15,17,57,main_signal,split_stable,7,3.0,1.0,0.9957445677840542,1.0,1.0,1.0,1.0,0.9574456778405412,high,high
298,298,298,1170,313,0.06115692307692308,0.05604465597698265,0.013407,0.4512979999999997,9,22,56,main_signal,split_stable,8,2.0,1.0,0.9944226468548027,1.0,1.0,1.0,1.0,0.9442264685480272,high,high
511,511,511,1168,314,271.2347184931507,328.46234471659005,0.0,975.2012339999999,0,1,0,main_signal,split_stable,9,1.0,1.0,0.9920930802060732,1.0,0.9931658566028834,0.9752064642214092,1.0,1.0,high,high
434,434,434,1170,313,13.37290188034188,27.977118237047723,2.4053989999999996,201.79281699999984,9,16,45,main_signal,split_stable,10,2.0,1.0,0.9919264592855336,1.0,1.0,1.0,1.0,0.9192645928553363,high,high
