feature,resolved_train_feature,resolved_monitor_feature,n_baseline,n_monitor,center_mean,sigma_train,normal_p01,normal_p99,n_beyond_3sigma,n_ewma_alarm,n_cusum_alarm,list_category,list_subtype,export_rank,appeared_in_topn_models,avg_rank,best_rank,avg_mean_positive_shap,max_mean_positive_shap,feature_set,model
59,59,59,1163,314,2.721722269991402,9.667673452186833,-11.659874,28.312142,0,0,0,main_signal,tp_like,1,10.0,1.5,1.0,0.6431044116948744,1.573577137042628,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
64,64,64,1163,314,20.365193379191744,4.674310426477905,11.317842,36.332189999999926,7,1,0,main_signal,tp_like,2,10.0,3.2,1.0,0.3554947152200511,1.0423178251356442,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
129,129,129,1162,313,-0.6013432013769363,1.2391987978996803,-3.732,1.655,0,0,0,main_signal,tp_like,3,10.0,12.9,4.0,0.1722024127302729,0.5086019482131925,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
582,582,582,1169,314,0.5000793840889649,0.0032969232695023924,0.492668,0.507932,1,1,3,main_signal,tp_like,4,10.0,14.2,6.0,0.1452697325938461,0.399832897859871,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
122,122,122,1162,313,3.9250559380378656,0.9136192932842311,2.322,6.360460000000002,0,0,0,main_signal,tp_like,5,10.0,21.5,2.0,0.1628134980339471,0.6513252715269806,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
130,130,130,1162,313,0.7431249569707401,0.0829976946031013,0.5393929999999999,0.8764,2,0,0,main_signal,tp_like,6,10.0,24.0,8.0,0.1170990821588835,0.2987040981594924,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
348,348,348,1152,308,0.02430390625,0.010573251680775284,0.011550999999999999,0.062839,5,1,5,main_signal,tp_like,7,10.0,24.9,4.0,0.0592559037087051,0.1941392005040374,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
56,56,56,1168,313,0.9286746575342466,0.00704973942300826,0.9082,0.937,1,2,3,main_signal,tp_like,8,10.0,25.4,2.0,0.2718230419038939,0.7209243811135189,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
103,103,103,1168,314,-0.009931934931506847,0.0029654767108482525,-0.015332,-0.0026020000000000435,2,2,4,main_signal,tp_like,9,10.0,25.8,2.0,0.059006887013164,0.1385762142680255,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
14,14,14,1167,314,9.009556041131106,2.757414778793942,3.040294,15.95407,2,0,0,main_signal,tp_like,10,10.0,28.5,6.0,0.071391940359565,0.1748732755970871,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
