feature,resolved_train_feature,resolved_monitor_feature,baseline_missing_rate,monitor_missing_rate,n_monitor_rows,n_pchart_alarm,n_gchart_alarm,list_category,list_subtype,export_rank,appeared_in_topn_models,avg_rank,best_rank,avg_mean_positive_shap,max_mean_positive_shap,feature_set,model
59,59,59,0.00558659217877095,0.0,314,0,0,main_signal,tp_like,1,10.0,1.5,1.0,0.6431044116948744,1.573577137042628,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
64,64,64,0.00558659217877095,0.0,314,0,0,main_signal,tp_like,2,10.0,3.2,1.0,0.3554947152200511,1.0423178251356442,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
129,129,129,0.006384676775738229,0.0031847133757961785,314,0,0,main_signal,tp_like,3,10.0,12.9,4.0,0.1722024127302729,0.5086019482131925,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
582,582,582,0.0007980845969672786,0.0,314,0,0,main_signal,tp_like,4,10.0,14.2,6.0,0.1452697325938461,0.399832897859871,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
122,122,122,0.006384676775738229,0.0031847133757961785,314,0,0,main_signal,tp_like,5,10.0,21.5,2.0,0.1628134980339471,0.6513252715269806,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
130,130,130,0.006384676775738229,0.0031847133757961785,314,0,0,main_signal,tp_like,6,10.0,24.0,8.0,0.1170990821588835,0.2987040981594924,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
348,348,348,0.014365522745411013,0.01910828025477707,314,0,0,main_signal,tp_like,7,10.0,24.9,4.0,0.0592559037087051,0.1941392005040374,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
56,56,56,0.0023942537909018356,0.0031847133757961785,314,1,0,main_signal,tp_like,8,10.0,25.4,2.0,0.2718230419038939,0.7209243811135189,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
103,103,103,0.0015961691939345571,0.0,314,0,0,main_signal,tp_like,9,10.0,25.8,2.0,0.059006887013164,0.1385762142680255,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
14,14,14,0.0023942537909018356,0.0,314,0,0,main_signal,tp_like,10,10.0,28.5,6.0,0.071391940359565,0.1748732755970871,"ANOVA,Base,RFERF,RFEXGB","LR,RF,SVM"
