rank,feature_set,category,model,balance_method,cv_ap,val_best_f1,best_params,roc_auc,average_precision,balanced_accuracy,recall,specificity,mcc,f1_score,false_positive,false_negative,true_negative,true_positive,type1_cost,type2_cost,overall_cost,predicted_positive,threshold
1,RFERF,supervised,RF,ROSE,0.3189182679178082,0.3125,"{""sampler__sampling_strategy"": 0.8, ""clf__n_estimators"": 800, ""clf__min_samples_split"": 10, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": null}",0.7575166585405493,0.15917265942924352,0.7207053469852105,0.6666666666666666,0.7747440273037542,0.25306575832271755,0.27722772277227725,66,7,227,14,66.0,70.0,136.0,80,0.20232788980713348
2,RFERF,supervised,RF,NoResample,0.28203103743808927,0.3157894736842105,"{""clf__n_estimators"": 200, ""clf__min_samples_split"": 5, ""clf__min_samples_leaf"": 4, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": null}",0.7555663903786771,0.16115322942319796,0.6935641150658216,0.5714285714285714,0.8156996587030717,0.2373561513453453,0.27586206896551724,54,9,239,12,54.0,90.0,144.0,66,0.10516617787900674
3,RFERF,supervised,LR,class_weight,0.2398769796066796,0.2978723404255319,"{""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__class_weight"": {""0"": 1, ""1"": 5}, ""clf__C"": 1.0}",0.6157971721111652,0.1541586735388198,0.6528522671867382,0.42857142857142855,0.8771331058020477,0.21795304511894756,0.2727272727272727,36,12,257,9,36.0,120.0,156.0,45,0.3472293893676648
4,ANOVA,supervised,SVM,class_weight,0.2772657850341494,0.21875,"{""clf__kernel"": ""rbf"", ""clf__gamma"": 0.1, ""clf__class_weight"": {""0"": 1, ""1"": 1}, ""clf__C"": 2.0}",0.7513408093612871,0.19214872241121903,0.6832439460425809,0.6190476190476191,0.7474402730375427,0.2045646248465792,0.24074074074074073,74,8,219,13,74.0,80.0,154.0,87,0.07685139318795782
5,RFERF,supervised,RF,SMOTE,0.35687180247745215,0.2926829268292683,"{""sampler__sampling_strategy"": 0.5, ""clf__n_estimators"": 800, ""clf__min_samples_split"": 10, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 20}",0.7303754266211604,0.15055402215772357,0.6916951080773606,0.6666666666666666,0.7167235494880546,0.2072854168659115,0.23728813559322035,83,7,210,14,83.0,70.0,153.0,97,0.1755144641265648
6,ANOVA,supervised,SVM,NoResample,0.28545625686934917,0.2153846153846154,"{""clf__kernel"": ""rbf"", ""clf__gamma"": 0.1, ""clf__C"": 1.0}",0.7521534210954006,0.19339028174648804,0.6798309767593045,0.6190476190476191,0.7406143344709898,0.1993662747744394,0.23636363636363636,76,8,217,13,76.0,80.0,156.0,89,0.07569208662861764
7,Base,supervised,LR,SMOTE,0.16246428224441506,0.16,"{""sampler__sampling_strategy"": 0.1, ""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.7141231919388915,0.17960311598050918,0.6222168048106614,0.38095238095238093,0.863481228668942,0.16968480031857106,0.2318840579710145,40,13,253,8,40.0,130.0,170.0,48,0.12060301142481507
8,RFEXGB,supervised,LR,SMOTE,0.22547428800969227,0.2962962962962963,"{""sampler__sampling_strategy"": 0.2, ""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.6978709572566227,0.18278472723861916,0.5764667641800747,0.19047619047619047,0.962457337883959,0.17912860435413347,0.2222222222222222,11,17,282,4,11.0,170.0,181.0,15,0.5483517567913296
9,RFEXGB,supervised,LR,NoResample,0.22365006677697846,0.30303030303030304,"{""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.7074597757191614,0.181085122075852,0.5866244108564928,0.23809523809523808,0.9351535836177475,0.1628955151096009,0.2222222222222222,19,16,274,5,19.0,160.0,179.0,24,0.1905491962006118
10,RFERF,supervised,LR,SMOTE,0.24108166359575045,0.32653061224489793,"{""sampler__sampling_strategy"": 0.3, ""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.6050706972208678,0.16193659249769718,0.6069397042093287,0.3333333333333333,0.8805460750853242,0.15696518437873808,0.2222222222222222,35,14,258,7,35.0,140.0,175.0,42,0.2526011564304778
11,Base,supervised,LR,NoResample,0.1701219892367147,0.16666666666666666,"{""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.720624085811799,0.1872587718751307,0.6153908662441085,0.38095238095238093,0.8498293515358362,0.15509313307678715,0.2191780821917808,44,13,249,8,44.0,130.0,174.0,52,0.07537662359000562
12,RFERF,supervised,BalancedRF,NoResample,0.33164576083412073,0.3,"{""n_estimators"": 600, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 10}",0.7277750690719973,0.13445342101672803,0.6052332195676905,0.3333333333333333,0.8771331058020477,0.15293519375904202,0.21875,36,14,257,7,36.0,140.0,176.0,43,0.5420246636622263
13,RFERF,supervised,LR,ROSE,0.23864492942864182,0.26666666666666666,"{""sampler__sampling_strategy"": 0.3, ""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.602957906712173,0.15505100017991505,0.5849179262148545,0.23809523809523808,0.931740614334471,0.1567306400638243,0.21739130434782608,20,16,273,5,20.0,160.0,180.0,25,0.584851822055642
14,ANOVA,supervised,SVM,ROSE,0.2796626135854899,0.20454545454545456,"{""sampler__sampling_strategy"": 0.8, ""clf__kernel"": ""rbf"", ""clf__gamma"": 0.1, ""clf__C"": 10.0}",0.7523159434422233,0.1750523024823663,0.6305867056720299,0.47619047619047616,0.7849829351535836,0.15445517642679676,0.2127659574468085,63,11,230,10,63.0,110.0,173.0,73,0.0006738447583499617
15,RFERF,supervised,RF,class_weight,0.30704354227688196,0.27450980392156865,"{""clf__n_estimators"": 200, ""clf__min_samples_split"": 20, ""clf__min_samples_leaf"": 4, ""clf__max_features"": 0.5, ""clf__max_depth"": 15, ""clf__class_weight"": {""0"": 1, ""1"": 10}}",0.7489029741589468,0.16131373559198275,0.6508207378514546,0.6190476190476191,0.6825938566552902,0.15934920981526696,0.2047244094488189,93,8,200,13,93.0,80.0,173.0,106,0.12840264233019347
16,RFERF,supervised,LR,NoResample,0.22795441247690879,0.29850746268656714,"{""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.5915813424345848,0.15655195022176646,0.6153096050706972,0.42857142857142855,0.8020477815699659,0.1406219318496272,0.20454545454545456,58,12,235,9,58.0,120.0,178.0,67,0.05858528666774491
17,Fusion,supervised,VotingEnsemble,NoResample+NoResample,1.0,1.0,"{""weights"": [2, 2, 3, 1]}",0.7493905411994148,0.1734719631947413,0.5645213716886072,0.19047619047619047,0.9385665529010239,0.12629154572172566,0.18604651162790697,18,17,275,4,18.0,170.0,188.0,22,0.13071146034096418
18,Base,supervised,LR,ROSE,0.18338194155506232,0.16806722689075632,"{""sampler__sampling_strategy"": 0.1, ""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__C"": 1.0}",0.7307004713148058,0.17956303161019105,0.6421257922964407,0.7142857142857143,0.5699658703071673,0.1427623683467381,0.18518518518518517,126,6,167,15,126.0,60.0,186.0,141,0.005009250788875481
19,Fusion,supervised,VotingEnsemble,SMOTE+NoResample,1.0,1.0,"{""weights"": [2, 2, 3, 1]}",0.7302129042743377,0.15742986390680466,0.5780107264748903,0.2857142857142857,0.8703071672354948,0.11228443426299144,0.18461538461538463,38,15,255,6,38.0,150.0,188.0,44,0.13946617898260202
20,Base,supervised,LR,class_weight,0.17186147277872552,0.17543859649122806,"{""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__class_weight"": {""0"": 1, ""1"": 5}, ""clf__C"": 1.0}",0.7009588818462538,0.17116455825174978,0.5830489192263936,0.3333333333333333,0.8327645051194539,0.10839358286026148,0.18181818181818182,49,14,244,7,49.0,140.0,189.0,56,0.1356783681465937
21,RFEXGB,supervised,LR,class_weight,0.2318287831216625,0.3125,"{""clf__solver"": ""liblinear"", ""clf__penalty"": ""l2"", ""clf__max_iter"": 3000, ""clf__class_weight"": {""0"": 1, ""1"": 2}, ""clf__C"": 1.0}",0.7131480578579554,0.19789979313471928,0.5611084024053308,0.19047619047619047,0.931740614334471,0.11491315887656649,0.17777777777777778,20,17,273,4,20.0,170.0,190.0,24,0.3051630360980426
22,ANOVA,anomaly,LOF,N/A,0.22253583969135962,0.25,"{""n_neighbors"": 50, ""contamination"": 0.03312051077414206}",0.6838940354298716,0.15409676426061303,0.5611084024053308,0.19047619047619047,0.931740614334471,0.11491315887656649,0.17777777777777778,20,17,273,4,20.0,170.0,190.0,24,-0.6331327070760884
23,Fusion,supervised,VotingEnsemble,ROSE+NoResample,1.0,1.0,"{""weights"": [2, 2, 3, 1]}",0.7500406305867056,0.14922134256281394,0.5576954331220543,0.19047619047619047,0.9249146757679181,0.10460006955250827,0.1702127659574468,22,17,271,4,22.0,170.0,192.0,26,0.18509303701705093
