Rank,Feature Set,Category,Model,Balance Method,CV AP,PR curve/AP,Balanced Accuracy,Recall,Specificity,MCC,F1 Score,Type I Error,Type II Error,True Negative (TN),True Positive (TP),Type 1 Cost,Type 2 Cost,Overall Cost
1,RFERF,supervised,RF,ROSE,0.3189182679178082,0.15917265942924352,0.7207053469852105,0.6666666666666666,0.7747440273037542,0.25306575832271755,0.27722772277227725,66,7,227,14,66.0,70.0,136.0
2,RFERF,supervised,RF,NoResample,0.28203103743808927,0.16115322942319796,0.6935641150658216,0.5714285714285714,0.8156996587030717,0.2373561513453453,0.27586206896551724,54,9,239,12,54.0,90.0,144.0
3,RFERF,supervised,LR,class_weight,0.2398769796066796,0.1541586735388198,0.6528522671867382,0.42857142857142855,0.8771331058020477,0.21795304511894756,0.2727272727272727,36,12,257,9,36.0,120.0,156.0
4,ANOVA,supervised,SVM,class_weight,0.2772657850341494,0.19214872241121903,0.6832439460425809,0.6190476190476191,0.7474402730375427,0.2045646248465792,0.24074074074074073,74,8,219,13,74.0,80.0,154.0
5,RFERF,supervised,RF,SMOTE,0.35687180247745215,0.15055402215772357,0.6916951080773606,0.6666666666666666,0.7167235494880546,0.2072854168659115,0.23728813559322035,83,7,210,14,83.0,70.0,153.0
6,ANOVA,supervised,SVM,NoResample,0.28545625686934917,0.19339028174648804,0.6798309767593045,0.6190476190476191,0.7406143344709898,0.1993662747744394,0.23636363636363636,76,8,217,13,76.0,80.0,156.0
7,Base,supervised,LR,SMOTE,0.16246428224441506,0.17960311598050918,0.6222168048106614,0.38095238095238093,0.863481228668942,0.16968480031857106,0.2318840579710145,40,13,253,8,40.0,130.0,170.0
8,RFEXGB,supervised,LR,SMOTE,0.22547428800969227,0.18278472723861916,0.5764667641800747,0.19047619047619047,0.962457337883959,0.17912860435413347,0.2222222222222222,11,17,282,4,11.0,170.0,181.0
9,RFEXGB,supervised,LR,NoResample,0.22365006677697846,0.181085122075852,0.5866244108564928,0.23809523809523808,0.9351535836177475,0.1628955151096009,0.2222222222222222,19,16,274,5,19.0,160.0,179.0
10,RFERF,supervised,LR,SMOTE,0.24108166359575045,0.16193659249769718,0.6069397042093287,0.3333333333333333,0.8805460750853242,0.15696518437873808,0.2222222222222222,35,14,258,7,35.0,140.0,175.0
11,Base,supervised,LR,NoResample,0.1701219892367147,0.1872587718751307,0.6153908662441085,0.38095238095238093,0.8498293515358362,0.15509313307678715,0.2191780821917808,44,13,249,8,44.0,130.0,174.0
12,RFERF,supervised,BalancedRF,NoResample,0.33164576083412073,0.13445342101672803,0.6052332195676905,0.3333333333333333,0.8771331058020477,0.15293519375904202,0.21875,36,14,257,7,36.0,140.0,176.0
13,RFERF,supervised,LR,ROSE,0.23864492942864182,0.15505100017991505,0.5849179262148545,0.23809523809523808,0.931740614334471,0.1567306400638243,0.21739130434782608,20,16,273,5,20.0,160.0,180.0
14,ANOVA,supervised,SVM,ROSE,0.2796626135854899,0.1750523024823663,0.6305867056720299,0.47619047619047616,0.7849829351535836,0.15445517642679676,0.2127659574468085,63,11,230,10,63.0,110.0,173.0
15,RFERF,supervised,RF,class_weight,0.30704354227688196,0.16131373559198275,0.6508207378514546,0.6190476190476191,0.6825938566552902,0.15934920981526696,0.2047244094488189,93,8,200,13,93.0,80.0,173.0
16,RFERF,supervised,LR,NoResample,0.22795441247690879,0.15655195022176646,0.6153096050706972,0.42857142857142855,0.8020477815699659,0.1406219318496272,0.20454545454545456,58,12,235,9,58.0,120.0,178.0
17,Fusion,supervised,VotingEnsemble,NoResample+NoResample,1.0,0.1734719631947413,0.5645213716886072,0.19047619047619047,0.9385665529010239,0.12629154572172566,0.18604651162790697,18,17,275,4,18.0,170.0,188.0
18,Base,supervised,LR,ROSE,0.18338194155506232,0.17956303161019105,0.6421257922964407,0.7142857142857143,0.5699658703071673,0.1427623683467381,0.18518518518518517,126,6,167,15,126.0,60.0,186.0
19,Fusion,supervised,VotingEnsemble,SMOTE+NoResample,1.0,0.15742986390680466,0.5780107264748903,0.2857142857142857,0.8703071672354948,0.11228443426299144,0.18461538461538463,38,15,255,6,38.0,150.0,188.0
20,Base,supervised,LR,class_weight,0.17186147277872552,0.17116455825174978,0.5830489192263936,0.3333333333333333,0.8327645051194539,0.10839358286026148,0.18181818181818182,49,14,244,7,49.0,140.0,189.0
21,RFEXGB,supervised,LR,class_weight,0.2318287831216625,0.19789979313471928,0.5611084024053308,0.19047619047619047,0.931740614334471,0.11491315887656649,0.17777777777777778,20,17,273,4,20.0,170.0,190.0
22,ANOVA,anomaly,LOF,N/A,0.22253583969135962,0.15409676426061303,0.5611084024053308,0.19047619047619047,0.931740614334471,0.11491315887656649,0.17777777777777778,20,17,273,4,20.0,170.0,190.0
23,Fusion,supervised,VotingEnsemble,ROSE+NoResample,1.0,0.14922134256281394,0.5576954331220543,0.19047619047619047,0.9249146757679181,0.10460006955250827,0.1702127659574468,22,17,271,4,22.0,170.0,192.0
24,ANOVA,anomaly,IsolationForest,N/A,0.21290235130989427,0.1355048088843276,0.5845116203477978,0.47619047619047616,0.6928327645051194,0.09063229869375998,0.1652892561983471,90,11,203,10,90.0,110.0,200.0
25,Fusion,supervised,VotingEnsemble,class_weight+NoResample,1.0,0.1525275017043235,0.5458313018039981,0.14285714285714285,0.9488054607508533,0.09850392558116904,0.15384615384615385,15,18,278,3,15.0,180.0,195.0
26,RFEXGB,supervised,HistGB,SMOTE,0.29952622390453143,0.1439368739991842,0.5441248171623598,0.14285714285714285,0.9453924914675768,0.0924631242052298,0.15,16,18,277,3,16.0,180.0,196.0
27,ANOVA,supervised,SVM,SMOTE,0.2512464005782957,0.1937952635269465,0.5600520071509832,0.8095238095238095,0.310580204778157,0.06531563009116483,0.14166666666666666,202,4,91,17,202.0,40.0,242.0
28,ANOVA,supervised,LR,ROSE,0.22062112190646235,0.12026377547164888,0.5372176174223956,0.19047619047619047,0.8839590443686007,0.057013234608884716,0.13559322033898305,34,17,259,4,34.0,170.0,204.0
29,ANOVA,supervised,LR,NoResample,0.22088417632474347,0.12857370747239152,0.5338046481391191,0.19047619047619047,0.8771331058020477,0.05065759831945425,0.13114754098360656,36,17,257,4,36.0,170.0,206.0
30,ANOVA,supervised,LR,class_weight,0.22088417632474347,0.12857370747239152,0.5338046481391191,0.19047619047619047,0.8771331058020477,0.05065759831945425,0.13114754098360656,36,17,257,4,36.0,170.0,206.0
31,RFEXGB,supervised,XGB,SMOTE,0.29755842582090597,0.16531506801951562,0.5339671704859419,0.09523809523809523,0.9726962457337884,0.09664870347621844,0.12903225806451613,8,19,285,2,8.0,190.0,198.0
